cluster_id,preliminary_label,author_final_label,author_notes,reviewed_by,review_date,requires_human_confirmation,representative_pair_ids,minimum_id_distance,pair_count,allowed_final_labels,cluster_overview_png,pair_review_pdf
fpc_0020,adjacent_or_near_identical,,,,,YES,fp_0116|fp_0117|fp_0172|fp_0173|fp_0203|fp_0204|fp_0224|fp_0225|fp_0242|fp_0243,1,13,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0020_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0020_pair_review.pdf
fpc_0021,adjacent_or_near_identical,,,,,YES,fp_0118|fp_0174|fp_0205|fp_0226|fp_0244|fp_0261|fp_0272,1,7,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0021_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0021_pair_review.pdf
fpc_0022,adjacent_or_near_identical,,,,,YES,fp_0119|fp_0175|fp_0206,1,3,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0022_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0022_pair_review.pdf
fpc_0023,adjacent_or_near_identical,,,,,YES,fp_0120|fp_0121|fp_0176|fp_0177|fp_0207|fp_0227|fp_0245|fp_0262|fp_0273|fp_0282,1,18,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0023_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0023_pair_review.pdf
fpc_0024,adjacent_or_near_identical,,,,,YES,fp_0122|fp_0178|fp_0208|fp_0228|fp_0246|fp_0263|fp_0274|fp_0283|fp_0290|fp_0297,1,16,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0024_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0024_pair_review.pdf
fpc_0025,adjacent_or_near_identical,,,,,YES,fp_0123,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0025_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0025_pair_review.pdf
fpc_0026,adjacent_or_near_identical,,,,,YES,fp_0124,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0026_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0026_pair_review.pdf
fpc_0027,adjacent_or_near_identical,,,,,YES,fp_0125|fp_0179,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0027_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0027_pair_review.pdf
fpc_0028,adjacent_or_near_identical,,,,,YES,fp_0126,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0028_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0028_pair_review.pdf
fpc_0029,adjacent_or_near_identical,,,,,YES,fp_0127|fp_0128|fp_0180|fp_0209|fp_0229|fp_0247,1,6,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0029_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0029_pair_review.pdf
fpc_0030,adjacent_or_near_identical,,,,,YES,fp_0129|fp_0181|fp_0210|fp_0230|fp_0248,1,5,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0030_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0030_pair_review.pdf
fpc_0031,adjacent_or_near_identical,,,,,YES,fp_0130|fp_0182|fp_0211|fp_0231|fp_0249,1,5,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0031_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0031_pair_review.pdf
fpc_0032,adjacent_or_near_identical,,,,,YES,fp_0131|fp_0183|fp_0212|fp_0232,1,4,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0032_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0032_pair_review.pdf
fpc_0033,adjacent_or_near_identical,,,,,YES,fp_0132,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0033_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0033_pair_review.pdf
fpc_0034,adjacent_or_near_identical,,,,,YES,fp_0133,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0034_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0034_pair_review.pdf
fpc_0035,adjacent_or_near_identical,,,,,YES,fp_0134|fp_0184,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0035_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0035_pair_review.pdf
fpc_0036,adjacent_or_near_identical,,,,,YES,fp_0135|fp_0185,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0036_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0036_pair_review.pdf
fpc_0037,adjacent_or_near_identical,,,,,YES,fp_0136,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0037_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0037_pair_review.pdf
fpc_0038,adjacent_or_near_identical,,,,,YES,fp_0137,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0038_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0038_pair_review.pdf
fpc_0039,adjacent_or_near_identical,,,,,YES,fp_0138|fp_0186|fp_0213,1,3,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0039_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0039_pair_review.pdf
fpc_0040,adjacent_or_near_identical,,,,,YES,fp_0139|fp_0187|fp_0214,1,3,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0040_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0040_pair_review.pdf
fpc_0041,adjacent_or_near_identical,,,,,YES,fp_0140|fp_0188,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0041_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0041_pair_review.pdf
fpc_0042,adjacent_or_near_identical,,,,,YES,fp_0141,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0042_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0042_pair_review.pdf
fpc_0043,adjacent_or_near_identical,,,,,YES,fp_0142|fp_0189|fp_0215|fp_0233|fp_0250|fp_0264|fp_0275|fp_0284|fp_0291|fp_0298,1,16,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0043_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0043_pair_review.pdf
fpc_0044,adjacent_or_near_identical,,,,,YES,fp_0143|fp_0190|fp_0216|fp_0234|fp_0251|fp_0265|fp_0276|fp_0285|fp_0292|fp_0299,1,16,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0044_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0044_pair_review.pdf
fpc_0045,adjacent_or_near_identical,,,,,YES,fp_0144|fp_0191|fp_0217|fp_0235|fp_0252|fp_0266|fp_0277|fp_0286|fp_0293|fp_0300,1,16,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0045_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0045_pair_review.pdf
fpc_0046,adjacent_or_near_identical,,,,,YES,fp_0145,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0046_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0046_pair_review.pdf
fpc_0047,adjacent_or_near_identical,,,,,YES,fp_0146|fp_0192|fp_0218|fp_0236|fp_0253|fp_0267|fp_0278|fp_0287|fp_0294|fp_0301,1,16,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0047_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0047_pair_review.pdf
fpc_0048,adjacent_or_near_identical,,,,,YES,fp_0147|fp_0193|fp_0219|fp_0237|fp_0254|fp_0310|fp_0319|fp_0328|fp_0336|fp_0344,1,11,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0048_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0048_pair_review.pdf
fpc_0049,adjacent_or_near_identical,,,,,YES,fp_0148,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0049_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0049_pair_review.pdf
fpc_0050,adjacent_or_near_identical,,,,,YES,fp_0149,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0050_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0050_pair_review.pdf
fpc_0051,adjacent_or_near_identical,,,,,YES,fp_0150,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0051_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0051_pair_review.pdf
fpc_0052,adjacent_or_near_identical,,,,,YES,fp_0151,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0052_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0052_pair_review.pdf
fpc_0053,adjacent_or_near_identical,,,,,YES,fp_0152,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0053_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0053_pair_review.pdf
fpc_0054,adjacent_or_near_identical,,,,,YES,fp_0153,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0054_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0054_pair_review.pdf
fpc_0055,adjacent_or_near_identical,,,,,YES,fp_0154|fp_0194|fp_0220|fp_0238|fp_0255|fp_0268|fp_0279|fp_0302|fp_0311|fp_0320,1,14,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0055_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0055_pair_review.pdf
fpc_0056,adjacent_or_near_identical,,,,,YES,fp_0155,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0056_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0056_pair_review.pdf
fpc_0057,adjacent_or_near_identical,,,,,YES,fp_0156,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0057_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0057_pair_review.pdf
fpc_0058,adjacent_or_near_identical,,,,,YES,fp_0157|fp_0195|fp_0221|fp_0239|fp_0256|fp_0269|fp_0280|fp_0288|fp_0295|fp_0303,1,12,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0058_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0058_pair_review.pdf
fpc_0059,adjacent_or_near_identical,,,,,YES,fp_0158|fp_0196,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0059_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0059_pair_review.pdf
fpc_0060,adjacent_or_near_identical,,,,,YES,fp_0159|fp_0197,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0060_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0060_pair_review.pdf
fpc_0061,adjacent_or_near_identical,,,,,YES,fp_0160,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0061_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0061_pair_review.pdf
fpc_0062,adjacent_or_near_identical,,,,,YES,fp_0161|fp_0198,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0062_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0062_pair_review.pdf
fpc_0063,adjacent_or_near_identical,,,,,YES,fp_0162|fp_0163|fp_0199|fp_0222|fp_0240|fp_0257|fp_0270|fp_0281,1,8,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0063_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0063_pair_review.pdf
fpc_0064,adjacent_or_near_identical,,,,,YES,fp_0164,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0064_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0064_pair_review.pdf
fpc_0065,adjacent_or_near_identical,,,,,YES,fp_0165,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0065_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0065_pair_review.pdf
fpc_0066,adjacent_or_near_identical,,,,,YES,fp_0166|fp_0200,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0066_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0066_pair_review.pdf
fpc_0067,adjacent_or_near_identical,,,,,YES,fp_0167,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0067_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0067_pair_review.pdf
fpc_0068,adjacent_or_near_identical,,,,,YES,fp_0168,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0068_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0068_pair_review.pdf
fpc_0069,adjacent_or_near_identical,,,,,YES,fp_0169,1,1,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0069_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0069_pair_review.pdf
fpc_0070,adjacent_or_near_identical,,,,,YES,fp_0170|fp_0201,1,2,exact_duplicate|adjacent_or_near_identical|same_scene_distinct_observation|false_candidate|uncertain,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0070_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0070_pair_review.pdf
