row_number,cluster_id,issues,author_final_label,reviewed_by,review_date,requires_human_confirmation
35,fpc_0035,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
36,fpc_0036,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
37,fpc_0037,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
38,fpc_0038,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
39,fpc_0039,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
40,fpc_0040,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
41,fpc_0041,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
42,fpc_0042,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
43,fpc_0043,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
44,fpc_0044,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
45,fpc_0045,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
46,fpc_0046,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
47,fpc_0047,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
48,fpc_0048,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
49,fpc_0049,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
50,fpc_0050,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
51,fpc_0051,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
52,fpc_0052,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
53,fpc_0053,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
54,fpc_0054,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
55,fpc_0055,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
56,fpc_0056,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
57,fpc_0057,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
58,fpc_0058,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
59,fpc_0059,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
60,fpc_0060,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
61,fpc_0061,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
62,fpc_0062,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
63,fpc_0063,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
64,fpc_0064,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
65,fpc_0065,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
66,fpc_0066,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
67,fpc_0067,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
68,fpc_0068,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
69,fpc_0069,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
70,fpc_0070,missing_author_final_label|missing_reviewed_by|missing_review_date,,,,YES
