cluster_id,author_final_label,reviewed_by,review_date,preliminary_label,requires_human_confirmation,gate_status
fpc_0021,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0022,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0023,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0024,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0025,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0026,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0027,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0028,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0029,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0030,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0031,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0032,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0033,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0034,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0035,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0036,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0037,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0038,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0039,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0040,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0041,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0042,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0043,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0044,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0045,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0046,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0047,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0048,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0049,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0050,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0051,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0052,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0053,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0054,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0055,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0056,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0057,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0058,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0059,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0060,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0061,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0062,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0063,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0064,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0065,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0066,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0067,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0068,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0069,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
fpc_0070,,,,adjacent_or_near_identical,YES,V40_HUMAN_REVIEW_GATE_BLOCKED
