sample_id,relative_path,v39_partition,v40_partition,moved_relative_to_v39,gt_box_count,v40_component_id,original_component_id
nframe_01109,data/images/nframe_01109.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02544
nframe_01110,data/images/nframe_01110.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02544
nframe_01111,data/images/nframe_01111.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02544
nframe_01112,data/images/nframe_01112.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02544
nframe_01113,data/images/nframe_01113.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02544
nframe_01114,data/images/nframe_01114.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_singleton_nframe_01114
nframe_01115,data/images/nframe_01115.npy,VALIDATION,TRAIN,yes,3,v40c_02468,orig_rule_02544
nframe_01116,data/images/nframe_01116.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02544
nframe_01117,data/images/nframe_01117.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02544
nframe_01118,data/images/nframe_01118.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_singleton_nframe_01118
nframe_01121,data/images/nframe_01121.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02548
nframe_01122,data/images/nframe_01122.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_singleton_nframe_01122
nframe_01123,data/images/nframe_01123.npy,VALIDATION,TRAIN,yes,4,v40c_02468,orig_rule_02548
nframe_01126,data/images/nframe_01126.npy,TRAIN,VALIDATION,yes,4,v40c_02482,orig_singleton_nframe_01126
nframe_01207,data/images/nframe_01207.npy,TRAIN,VALIDATION,yes,4,v40c_02482,orig_rule_02568
nframe_01208,data/images/nframe_01208.npy,TRAIN,VALIDATION,yes,4,v40c_02482,orig_rule_02568
nframe_01209,data/images/nframe_01209.npy,TRAIN,VALIDATION,yes,4,v40c_02482,orig_rule_02568
nframe_01266,data/images/nframe_01266.npy,VALIDATION,TRAIN,yes,5,v40c_02509,orig_rule_02589
nframe_01267,data/images/nframe_01267.npy,VALIDATION,TRAIN,yes,5,v40c_02509,orig_rule_02589
nframe_01462,data/images/nframe_01462.npy,VALIDATION,TRAIN,yes,13,v40c_02581,orig_singleton_nframe_01462
nframe_02450,data/images/nframe_02450.npy,TRAIN,VALIDATION,yes,2,v40c_02893,orig_singleton_nframe_02450
nframe_02528,data/images/nframe_02528.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02529,data/images/nframe_02529.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02531,data/images/nframe_02531.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02532,data/images/nframe_02532.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02533,data/images/nframe_02533.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02534,data/images/nframe_02534.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02535,data/images/nframe_02535.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02536,data/images/nframe_02536.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02537,data/images/nframe_02537.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02538,data/images/nframe_02538.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02539,data/images/nframe_02539.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02540,data/images/nframe_02540.npy,VALIDATION,TRAIN,yes,6,v40c_02468,orig_rule_02538
nframe_02548,data/images/nframe_02548.npy,TRAIN,VALIDATION,yes,6,v40c_02941,orig_rule_03026
nframe_02549,data/images/nframe_02549.npy,TRAIN,VALIDATION,yes,6,v40c_02941,orig_rule_03026
nframe_02559,data/images/nframe_02559.npy,TRAIN,VALIDATION,yes,7,v40c_02941,orig_singleton_nframe_02559
nframe_02768,data/images/nframe_02768.npy,VALIDATION,TRAIN,yes,3,v40c_03018,orig_singleton_nframe_02768
nframe_03332,data/images/nframe_03332.npy,TRAIN,VALIDATION,yes,2,v40c_03151,orig_singleton_nframe_03332
nframe_03388,data/images/nframe_03388.npy,TRAIN,VALIDATION,yes,2,v40c_03156,orig_rule_03245
nframe_03389,data/images/nframe_03389.npy,TRAIN,VALIDATION,yes,2,v40c_03156,orig_rule_03245
nframe_03394,data/images/nframe_03394.npy,TRAIN,VALIDATION,yes,2,v40c_03156,orig_rule_03247
nframe_03395,data/images/nframe_03395.npy,TRAIN,VALIDATION,yes,2,v40c_03156,orig_rule_03247
nframe_03397,data/images/nframe_03397.npy,TRAIN,VALIDATION,yes,3,v40c_03157,orig_singleton_nframe_03397
nframe_03399,data/images/nframe_03399.npy,TRAIN,VALIDATION,yes,3,v40c_03158,orig_singleton_nframe_03399
nframe_03406,data/images/nframe_03406.npy,TRAIN,VALIDATION,yes,3,v40c_03158,orig_singleton_nframe_03406
nframe_03408,data/images/nframe_03408.npy,TRAIN,VALIDATION,yes,3,v40c_03160,orig_rule_03254
nframe_03409,data/images/nframe_03409.npy,TRAIN,VALIDATION,yes,3,v40c_03160,orig_rule_03254
nframe_03413,data/images/nframe_03413.npy,TRAIN,VALIDATION,yes,4,v40c_03160,orig_singleton_nframe_03413
nframe_03420,data/images/nframe_03420.npy,TRAIN,VALIDATION,yes,3,v40c_03158,orig_singleton_nframe_03420
nframe_03487,data/images/nframe_03487.npy,TRAIN,VALIDATION,yes,1,v40c_03158,orig_rule_03280
nframe_03488,data/images/nframe_03488.npy,TRAIN,VALIDATION,yes,1,v40c_03158,orig_rule_03280
nframe_03489,data/images/nframe_03489.npy,TRAIN,VALIDATION,yes,1,v40c_03158,orig_rule_03280
nframe_04425,data/images/nframe_04425.npy,TRAIN,VALIDATION,yes,4,v40c_03444,orig_singleton_nframe_04425
nframe_04761,data/images/nframe_04761.npy,TRAIN,VALIDATION,yes,1,v40c_03576,orig_rule_03699
nframe_04762,data/images/nframe_04762.npy,TRAIN,VALIDATION,yes,1,v40c_03576,orig_rule_03699
nframe_04763,data/images/nframe_04763.npy,TRAIN,VALIDATION,yes,1,v40c_03576,orig_rule_03699
nframe_05545,data/images/nframe_05545.npy,VALIDATION,TRAIN,yes,2,v40c_04008,orig_singleton_nframe_05545
nframe_05548,data/images/nframe_05548.npy,TRAIN,VALIDATION,yes,3,v40c_04010,orig_singleton_nframe_05548
nframe_06578,data/images/nframe_06578.npy,VALIDATION,TRAIN,yes,1,v40c_04243,orig_rule_04379
nframe_06579,data/images/nframe_06579.npy,VALIDATION,TRAIN,yes,1,v40c_04243,orig_rule_04379
nframe_06670,data/images/nframe_06670.npy,VALIDATION,TRAIN,yes,1,v40c_04289,orig_rule_04427
nframe_06671,data/images/nframe_06671.npy,VALIDATION,TRAIN,yes,1,v40c_04289,orig_rule_04427
nframe_06810,data/images/nframe_06810.npy,TRAIN,VALIDATION,yes,1,v40c_04317,orig_singleton_nframe_06810
nframe_07009,data/images/nframe_07009.npy,VALIDATION,TRAIN,yes,1,v40c_04384,orig_rule_04536
nframe_07010,data/images/nframe_07010.npy,VALIDATION,TRAIN,yes,1,v40c_04384,orig_rule_04536
nframe_07356,data/images/nframe_07356.npy,TRAIN,VALIDATION,yes,1,v40c_04486,orig_singleton_nframe_07356
nframe_07357,data/images/nframe_07357.npy,TRAIN,VALIDATION,yes,1,v40c_04487,orig_singleton_nframe_07357
nframe_07790,data/images/nframe_07790.npy,TRAIN,VALIDATION,yes,2,v40c_04763,orig_singleton_nframe_07790
nframe_07795,data/images/nframe_07795.npy,TRAIN,VALIDATION,yes,3,v40c_04768,orig_singleton_nframe_07795
nframe_07833,data/images/nframe_07833.npy,TRAIN,VALIDATION,yes,2,v40c_04796,orig_singleton_nframe_07833
nframe_07837,data/images/nframe_07837.npy,TRAIN,VALIDATION,yes,2,v40c_04796,orig_singleton_nframe_07837
nframe_07911,data/images/nframe_07911.npy,TRAIN,VALIDATION,yes,2,v40c_04843,orig_singleton_nframe_07911
nframe_07914,data/images/nframe_07914.npy,TRAIN,VALIDATION,yes,2,v40c_04796,orig_rule_05013
nframe_07915,data/images/nframe_07915.npy,TRAIN,VALIDATION,yes,3,v40c_04796,orig_rule_05013
nframe_09361,data/images/nframe_09361.npy,VALIDATION,TRAIN,yes,1,v40c_05374,orig_rule_05545
nframe_09362,data/images/nframe_09362.npy,VALIDATION,TRAIN,yes,1,v40c_05374,orig_rule_05545
nframe_09363,data/images/nframe_09363.npy,VALIDATION,TRAIN,yes,1,v40c_05374,orig_rule_05545
nframe_09433,data/images/nframe_09433.npy,VALIDATION,TRAIN,yes,1,v40c_05396,orig_singleton_nframe_09433
nframe_09434,data/images/nframe_09434.npy,VALIDATION,TRAIN,yes,1,v40c_05397,orig_singleton_nframe_09434
nframe_09894,data/images/nframe_09894.npy,TRAIN,VALIDATION,yes,4,v40c_05490,orig_singleton_nframe_09894
