cluster_id,preliminary_label,codex_confidence,human_review_priority,high_priority,requires_human_confirmation,preliminary_automated_triage_only,representative_pair_ids,minimum_id_distance,pair_count,minimum_selected_resized_rgb_mae,rationale,overview_png,pair_review_pdf
fpc_0030,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0129|fp_0181|fp_0210|fp_0230|fp_0248,1,5,1.138715,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0030_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0030_pair_review.pdf
fpc_0031,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0130|fp_0182|fp_0211|fp_0231|fp_0249,1,5,1.045052,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0031_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0031_pair_review.pdf
fpc_0032,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0131|fp_0183|fp_0212|fp_0232,1,4,1.129323,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0032_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0032_pair_review.pdf
fpc_0033,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0132,1,1,3.702882,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0033_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0033_pair_review.pdf
fpc_0034,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0133,1,1,4.946267,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0034_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0034_pair_review.pdf
fpc_0035,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0134|fp_0184,1,2,3.447378,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0035_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0035_pair_review.pdf
fpc_0036,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0135|fp_0185,1,2,4.745538,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0036_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0036_pair_review.pdf
fpc_0037,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0136,1,1,7.006233,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0037_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0037_pair_review.pdf
fpc_0038,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0137,1,1,7.995729,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0038_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0038_pair_review.pdf
fpc_0039,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0138|fp_0186|fp_0213,1,3,4.565746,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0039_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0039_pair_review.pdf
fpc_0040,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0139|fp_0187|fp_0214,1,3,7.995070,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0040_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0040_pair_review.pdf
fpc_0041,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0140|fp_0188,1,2,8.035330,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0041_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0041_pair_review.pdf
fpc_0042,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0141,1,1,5.969306,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0042_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0042_pair_review.pdf
fpc_0043,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0142|fp_0189|fp_0215|fp_0233|fp_0250|fp_0264|fp_0275|fp_0284|fp_0291|fp_0298,1,16,7.709566,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0043_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0043_pair_review.pdf
fpc_0044,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0143|fp_0190|fp_0216|fp_0234|fp_0251|fp_0265|fp_0276|fp_0285|fp_0292|fp_0299,1,16,3.348299,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0044_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0044_pair_review.pdf
fpc_0045,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0144|fp_0191|fp_0217|fp_0235|fp_0252|fp_0266|fp_0277|fp_0286|fp_0293|fp_0300,1,16,4.513525,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0045_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0045_pair_review.pdf
fpc_0046,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0145,1,1,4.103819,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0046_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0046_pair_review.pdf
fpc_0047,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0146|fp_0192|fp_0218|fp_0236|fp_0253|fp_0267|fp_0278|fp_0287|fp_0294|fp_0301,1,16,3.688177,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0047_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0047_pair_review.pdf
fpc_0048,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0147|fp_0193|fp_0219|fp_0237|fp_0254|fp_0310|fp_0319|fp_0328|fp_0336|fp_0344,1,11,3.293038,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0048_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0048_pair_review.pdf
fpc_0049,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0148,1,1,0.892483,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0049_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0049_pair_review.pdf
fpc_0050,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0149,1,1,0.485486,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0050_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0050_pair_review.pdf
fpc_0051,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0150,1,1,3.082674,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0051_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0051_pair_review.pdf
fpc_0052,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0151,1,1,3.744236,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0052_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0052_pair_review.pdf
fpc_0053,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0152,1,1,1.875365,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0053_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0053_pair_review.pdf
fpc_0054,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0153,1,1,1.488056,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0054_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0054_pair_review.pdf
fpc_0055,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0154|fp_0194|fp_0220|fp_0238|fp_0255|fp_0268|fp_0279|fp_0302|fp_0311|fp_0320,1,14,1.113733,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0055_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0055_pair_review.pdf
fpc_0056,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0155,1,1,4.207066,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0056_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0056_pair_review.pdf
fpc_0057,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0156,1,1,2.922830,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0057_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0057_pair_review.pdf
fpc_0058,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0157|fp_0195|fp_0221|fp_0239|fp_0256|fp_0269|fp_0280|fp_0288|fp_0295|fp_0303,1,12,1.067396,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0058_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0058_pair_review.pdf
fpc_0059,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0158|fp_0196,1,2,1.303837,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0059_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0059_pair_review.pdf
fpc_0060,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0159|fp_0197,1,2,11.788750,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0060_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0060_pair_review.pdf
fpc_0061,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0160,1,1,16.674706,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0061_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0061_pair_review.pdf
fpc_0062,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0161|fp_0198,1,2,4.939688,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0062_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0062_pair_review.pdf
fpc_0063,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0162|fp_0163|fp_0199|fp_0222|fp_0240|fp_0257|fp_0270|fp_0281,1,8,2.716458,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0063_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0063_pair_review.pdf
fpc_0064,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0164,1,1,7.736059,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0064_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0064_pair_review.pdf
fpc_0065,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0165,1,1,5.721996,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0065_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0065_pair_review.pdf
fpc_0066,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0166|fp_0200,1,2,1.978472,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0066_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0066_pair_review.pdf
fpc_0067,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0167,1,1,1.258819,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0067_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0067_pair_review.pdf
fpc_0068,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0168,1,1,0.341892,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0068_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0068_pair_review.pdf
fpc_0069,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0169,1,1,0.313490,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0069_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0069_pair_review.pdf
fpc_0070,adjacent_or_near_identical,medium,1,yes,YES,YES,fp_0170|fp_0201,1,2,5.617031,Small filename-ID distance and low resized RGB difference.,reproducibility/v39_filename_proximity_review_packet_v1/cluster_overviews/fpc_0070_overview.png,reproducibility/v39_filename_proximity_review_packet_v1/pair_reviews/fpc_0070_pair_review.pdf
