split,sequence,rgb_count,ir_count,event_count,index_min,index_max,exact_filename_index_match,interval20_samples,rgb_annotated_frames,ir_annotated_frames
train,0317,2331,2331,2331,1,2331,True,117,25,25
train,0334,2109,2109,2109,1,2109,True,106,23,22
train,0340,2170,2170,2170,1,2170,True,109,23,23
train,0342,2139,2139,2139,1,2139,True,107,23,23
train,0345,2055,2055,2055,1,2055,True,103,22,22
train,0351,2178,2178,2178,1,2178,True,109,23,23
train,0362,2163,2163,2163,1,2163,True,109,23,23
train,0363,2007,2007,2007,1,2007,True,101,22,22
devval,0364,2088,2088,2088,1,2088,True,105,22,22
train,0367,2128,2128,2128,1,2128,True,107,23,23
devval,0369,2728,2728,2728,1,2728,True,137,29,29
train,0370,2160,2160,2160,1,2160,True,108,23,22
train,0371,2175,2175,2175,1,2175,True,109,22,23
train,0372,2344,2344,2344,1,2344,True,118,25,25
train,0377,2133,2133,2133,1,2133,True,107,23,23
train,0385,2205,2205,2205,1,2205,True,111,24,24
train,0386,2205,2205,2205,1,2205,True,111,24,23
train,0392,2133,2133,2133,1,2133,True,107,23,23
devval,0393,2130,2130,2130,1,2130,True,107,23,23
devval,0398,2200,2200,2200,1,2200,True,110,23,23
train,0399,2176,2176,2176,1,2176,True,109,23,23
train,0400,2463,2463,2463,1,2463,True,124,26,26
train,0401,2358,2358,2358,1,2358,True,118,25,25
train,0407,2440,2440,2440,1,2440,True,122,26,26
train,0410,2166,2166,2166,1,2166,True,109,23,23
train,0411,2149,2149,2149,1,2149,True,108,21,22
train,0412,2163,2163,2163,1,2163,True,109,21,23
devval,0415,2166,2166,2166,1,2166,True,109,21,22
train,0418,2256,2256,2256,1,2256,True,113,24,23
devval,0420,2106,2106,2106,1,2106,True,106,23,23
devval,0423,2127,2127,2127,1,2127,True,107,23,23
devval,0425,2187,2187,2187,1,2187,True,110,23,23
train,0430,2139,2139,2139,1,2139,True,107,23,23
train,0432,2127,2127,2127,1,2127,True,107,23,23
train,0433,2214,2214,2214,1,2214,True,111,24,24
devval,0434,2145,2145,2145,1,2145,True,108,23,23
train,0438,2142,2142,2142,1,2142,True,108,23,23
train,0441,2152,2152,2152,1,2152,True,108,19,20
train,0442,2124,2124,2124,1,2124,True,107,23,23
train,0444,2166,2166,2166,1,2166,True,109,23,23
train,0445,2107,2107,2107,1,2107,True,106,23,23
devval,0449,2112,2112,2112,1,2112,True,106,23,23
train,0450,2193,2193,2193,1,2193,True,110,23,23
train,0451,2256,2256,2256,1,2256,True,113,24,23
train,0454,2191,2191,2191,1,2191,True,110,23,23
train,0456,2149,2149,2149,1,2149,True,108,23,23
train,0458,2136,2136,2136,1,2136,True,107,23,23
devval,0461,2140,2140,2140,1,2140,True,107,23,23
train,0466,2028,2028,2028,1,2028,True,102,22,22
train,0469,2145,2145,2145,1,2145,True,108,23,23
train,0476,2121,2121,2121,1,2121,True,107,23,22
train,0483,2154,2154,2154,1,2154,True,108,23,23
devval,0486,2140,2140,2140,1,2140,True,107,23,21
train,0491,2131,2131,2131,1,2131,True,107,23,23
train,0492,2130,2130,2130,1,2130,True,107,23,23
train,0502,2208,2208,2208,1,2208,True,111,24,24
train,0503,2094,2094,2094,1,2094,True,105,22,22
train,0505,2113,2113,2113,1,2113,True,106,23,23
train,0514,2118,2118,2118,1,2118,True,106,23,23
train,0515,2118,2118,2118,1,2118,True,106,23,23
train,0516,2140,2140,2140,1,2140,True,107,23,23
train,0517,2160,2160,2160,1,2160,True,108,23,23
train,0520,2178,2178,2178,1,2178,True,109,23,23
train,0521,2169,2169,2169,1,2169,True,109,23,23
train,0531,2080,2080,2080,1,2080,True,104,22,22
devval,0532,2164,2164,2164,1,2164,True,109,23,23
devval,0536,2115,2115,2115,1,2115,True,106,23,23
train,0543,2161,2161,2161,1,2161,True,109,23,23
train,0547,2088,2088,2088,1,2088,True,105,22,22
devval,0548,2094,2094,2094,1,2094,True,105,22,22
train,0553,2119,2119,2119,1,2119,True,106,23,23
devval,0558,2167,2167,2167,1,2167,True,109,23,23
train,0574,2137,2137,2137,1,2137,True,107,23,23
train,0578,2319,2319,2319,1,2319,True,116,25,25
train,0579,2091,2091,2091,1,2091,True,105,22,22
train,0586,2136,2136,2136,1,2136,True,107,23,23
train,0587,2181,2181,2181,1,2181,True,110,23,22
devval,0592,2146,2146,2146,1,2146,True,108,23,23
train,0594,1509,1509,1509,1,1509,True,76,17,17
train,0596,1788,1788,1788,1,1788,True,90,19,19
train,0598,2118,2118,2118,1,2118,True,106,23,23
devval,0603,2059,2059,2059,1,2059,True,103,22,21
devval,0604,2023,2023,2023,1,2023,True,102,22,22
train,0608,2076,2076,2076,1,2076,True,104,22,22
train,0610,1803,1803,1803,1,1803,True,91,20,20
train,0611,1857,1857,1857,1,1857,True,93,20,20
train,0616,2043,2043,2043,1,2043,True,103,21,18
train,0617,2068,2068,2068,1,2068,True,104,21,21
train,0620,1999,1999,1999,1,1999,True,100,21,20
devval,0621,2436,2436,2436,1,2436,True,122,26,26
train,0623,2157,2157,2157,1,2157,True,108,23,23
train,0629,2154,2154,2154,1,2154,True,108,23,23
train,0630,2121,2121,2121,1,2121,True,107,23,23
train,0633,2115,2115,2115,1,2115,True,106,23,23
train,0636,2109,2109,2109,1,2109,True,106,23,23
train,0638,2119,2119,2119,1,2119,True,106,20,21
train,0651,2169,2169,2169,1,2169,True,109,23,23
train,0654,2133,2133,2133,1,2133,True,107,23,23
train,0655,2172,2172,2172,1,2172,True,109,23,23
devval,0658,2152,2152,2152,1,2152,True,108,20,20
train,0660,2143,2143,2143,1,2143,True,108,23,23
train,0664,2166,2166,2166,1,2166,True,109,23,23
train,0669,2217,2217,2217,1,2217,True,111,24,24
train,0674,2220,2220,2220,1,2220,True,111,24,24
train,0677,2155,2155,2155,1,2155,True,108,23,23
train,0679,2131,2131,2131,1,2131,True,107,23,23
devval,0681,2121,2121,2121,1,2121,True,107,23,23
train,0683,2142,2142,2142,1,2142,True,108,23,23
train,0690,2095,2095,2095,1,2095,True,105,22,22
train,0692,2160,2160,2160,1,2160,True,108,23,23
train,0742,2184,2184,2184,1,2184,True,110,21,23
train,0749,2178,2178,2178,1,2178,True,109,23,23
train,0753,2124,2124,2124,1,2124,True,107,22,23
train,0756,2107,2107,2107,1,2107,True,106,23,23
train,0757,2103,2103,2103,1,2103,True,106,23,23
train,0792,2145,2145,2145,1,2145,True,108,17,22
train,0809,2226,2226,2226,1,2226,True,112,24,24
train,0811,2145,2145,2145,1,2145,True,108,18,21
train,0815,2013,2013,2013,1,2013,True,101,12,21
train,0818,2082,2082,2082,1,2082,True,105,22,22
train,0819,2091,2091,2091,1,2091,True,105,22,19
train,0821,2166,2166,2166,1,2166,True,109,14,14
train,0822,2133,2133,2133,1,2133,True,107,20,22
train,0826,2145,2145,2145,1,2145,True,108,23,23
train,0827,2175,2175,2175,1,2175,True,109,23,23
train,0828,2128,2128,2128,1,2128,True,107,21,21
train,0836,2118,2118,2118,1,2118,True,106,8,20
train,0838,2278,2278,2278,1,2278,True,114,11,18
devval,0841,2214,2214,2214,1,2214,True,111,23,23
train,0845,2137,2137,2137,1,2137,True,107,18,23
train,0858,2118,2118,2118,1,2118,True,106,23,23
train,0861,2104,2104,2104,1,2104,True,106,22,23
train,0862,2056,2056,2056,1,2056,True,103,22,22
train,0864,1927,1927,1927,1,1927,True,97,20,21
devval,0865,1924,1924,1924,1,1924,True,97,21,21
train,0866,2083,2083,2083,1,2083,True,105,22,22
train,0867,2094,2094,2094,1,2094,True,105,19,17
train,0868,2139,2139,2139,1,2139,True,107,22,23
train,0870,2100,2100,2100,1,2100,True,105,18,22
train,0872,2125,2125,2125,1,2125,True,107,18,17
train,0874,2140,2140,2140,1,2140,True,107,21,18
train,0875,2157,2157,2157,1,2157,True,108,21,20
train,0879,2109,2109,2109,1,2109,True,106,22,23
train,0881,2137,2137,2137,1,2137,True,107,22,18
train,0882,2115,2115,2115,1,2115,True,106,23,23
train,0883,2104,2104,2104,1,2104,True,106,22,21
train,0902,2148,2148,2148,1,2148,True,108,22,23
train,0903,2134,2134,2134,1,2134,True,107,23,23
train,0905,2136,2136,2136,1,2136,True,107,23,23
train,0906,2197,2197,2197,1,2197,True,110,23,23
train,0907,1890,1890,1890,1,1890,True,95,20,20
train,0908,1803,1803,1803,1,1803,True,91,20,20
train,0910,2101,2101,2101,1,2101,True,106,22,22
train,0916,2145,2145,2145,1,2145,True,108,23,23
devval,0941,2211,2211,2211,1,2211,True,111,24,22
train,0946,2152,2152,2152,1,2152,True,108,23,23
train,0948,2103,2103,2103,1,2103,True,106,23,23
train,0953,2109,2109,2109,1,2109,True,106,23,22
train,0955,2145,2145,2145,1,2145,True,108,23,23
devval,0957,2130,2130,2130,1,2130,True,107,23,23
train,0963,2076,2076,2076,1,2076,True,104,22,22
devval,0964,2110,2110,2110,1,2110,True,106,23,23
devval,0976,2133,2133,2133,1,2133,True,107,23,23
train,0978,2103,2103,2103,1,2103,True,106,23,23
train,0979,2106,2106,2106,1,2106,True,106,23,23
train,0980,2109,2109,2109,1,2109,True,106,23,23
devval,0985,2106,2106,2106,1,2106,True,106,23,23
train,0989,2079,2079,2079,1,2079,True,104,22,22
train,0990,2088,2088,2088,1,2088,True,105,22,22
devval,0991,2242,2242,2242,1,2242,True,113,24,24
train,1046,2000,2000,2000,1,2000,True,100,19,20
train,1048,2000,2000,2000,1,2000,True,100,19,19
train,1049,2000,2000,2000,1,2000,True,100,21,21
train,1050,2000,2000,2000,1,2000,True,100,19,19
devval,1058,2000,2000,2000,1,2000,True,100,18,19
train,1065,2000,2000,2000,1,2000,True,100,20,20
train,1066,2000,2000,2000,1,2000,True,100,21,21
train,1068,2000,2000,2000,1,2000,True,100,21,21
train,1069,2000,2000,2000,1,2000,True,100,21,21
devval,1070,2000,2000,2000,1,2000,True,100,21,21
train,1073,2000,2000,2000,1,2000,True,100,21,21
train,1080,2000,2000,2000,1,2000,True,100,21,21
devval,1096,2000,2000,2000,1,2000,True,100,21,21
train,1102,2000,2000,2000,1,2000,True,100,19,21
train,1104,2000,2000,2000,1,2000,True,100,19,21
train,1201,2000,2000,2000,1,2000,True,100,21,21
devval,1203,2000,2000,2000,1,2000,True,100,21,21
devval,1204,2000,2000,2000,1,2000,True,100,21,21
train,1205,2000,2000,2000,1,2000,True,100,21,21
devval,1207,2000,2000,2000,1,2000,True,100,21,21
train,1208,2000,2000,2000,1,2000,True,100,21,21
train,1209,2000,2000,2000,1,2000,True,100,21,21
train,1419,2000,2000,2000,1,2000,True,100,21,21
train,1421,2000,2000,2000,1,2000,True,100,21,21
train,1424,2000,2000,2000,1,2000,True,100,21,21
train,1425,2000,2000,2000,1,2000,True,100,21,20
train,1426,2000,2000,2000,1,2000,True,100,21,17
train,1434,2000,2000,2000,1,2000,True,100,21,21
train,1436,2000,2000,2000,1,2000,True,100,21,16
train,1437,2000,2000,2000,1,2000,True,100,21,21
train,1444,2000,2000,2000,1,2000,True,100,21,9
devval,1445,2000,2000,2000,1,2000,True,100,21,12
train,1447,2000,2000,2000,1,2000,True,100,21,12
train,1449,2000,2000,2000,1,2000,True,100,21,21
train,1451,2000,2000,2000,1,2000,True,100,21,19
train,1452,2000,2000,2000,1,2000,True,100,20,16
devval,1460,2000,2000,2000,1,2000,True,100,20,21
devval,1462,2000,2000,2000,1,2000,True,100,21,19
train,1468,2000,2000,2000,1,2000,True,100,21,21
train,1475,2000,2000,2000,1,2000,True,100,21,21
train,1476,2000,2000,2000,1,2000,True,100,21,21
train,1477,2000,2000,2000,1,2000,True,100,21,21
train,1481,2000,2000,2000,1,2000,True,100,21,21
train,1482,2000,2000,2000,1,2000,True,100,21,21
devval,1484,2000,2000,2000,1,2000,True,100,21,21
train,1486,2000,2000,2000,1,2000,True,100,21,21
train,1487,2000,2000,2000,1,2000,True,100,21,21
devval,1490,2000,2000,2000,1,2000,True,100,21,21
train,1491,2000,2000,2000,1,2000,True,100,21,21
train,1494,2000,2000,2000,1,2000,True,100,21,21
train,1495,2000,2000,2000,1,2000,True,100,21,21
train,1502,2000,2000,2000,1,2000,True,100,21,21
train,1506,2000,2000,2000,1,2000,True,100,21,21
devval,1512,2000,2000,2000,1,2000,True,100,21,21
train,1513,2000,2000,2000,1,2000,True,100,21,21
train,1514,2000,2000,2000,1,2000,True,100,21,21
train,1515,2000,2000,2000,1,2000,True,100,21,21
devval,1516,2000,2000,2000,1,2000,True,100,21,21
train,1517,2000,2000,2000,1,2000,True,100,21,21
train,1518,2000,2000,2000,1,2000,True,100,21,21
train,1521,2000,2000,2000,1,2000,True,100,21,16
train,1522,2000,2000,2000,1,2000,True,100,21,17
train,1523,2000,2000,2000,1,2000,True,100,21,21
train,1525,2000,2000,2000,1,2000,True,100,21,21
devval,1536,2000,2000,2000,1,2000,True,100,19,20
train,1540,2000,2000,2000,1,2000,True,100,21,21
train,1541,2000,2000,2000,1,2000,True,100,21,21
train,1544,2000,2000,2000,1,2000,True,100,21,21
train,1546,2000,2000,2000,1,2000,True,100,21,21
train,1547,2000,2000,2000,1,2000,True,100,21,21
train,1550,2000,2000,2000,1,2000,True,100,21,21
train,1551,2000,2000,2000,1,2000,True,100,21,21
train,1553,2000,2000,2000,1,2000,True,100,21,21
train,1554,2000,2000,2000,1,2000,True,100,20,21
train,1555,2000,2000,2000,1,2000,True,100,17,19
devval,1557,2000,2000,2000,1,2000,True,100,21,21
train,1558,2000,2000,2000,1,2000,True,100,21,21
train,1560,2000,2000,2000,1,2000,True,100,21,21
train,1562,2000,2000,2000,1,2000,True,100,21,21
train,1567,2000,2000,2000,1,2000,True,100,21,21
train,1576,2000,2000,2000,1,2000,True,100,21,21
devval,1577,2000,2000,2000,1,2000,True,100,21,21
train,1591,2000,2000,2000,1,2000,True,100,21,18
train,1595,2000,2000,2000,1,2000,True,100,21,19
train,1598,2000,2000,2000,1,2000,True,100,21,19
train,1599,2000,2000,2000,1,2000,True,100,21,21
train,1603,2103,2103,2103,1,2103,True,106,23,23
devval,1606,2146,2146,2146,1,2146,True,108,23,23
train,1607,2100,2100,2100,1,2100,True,105,22,21
train,1608,2130,2130,2130,1,2130,True,107,23,23
train,1610,2125,2125,2125,1,2125,True,107,23,23
train,1615,2137,2137,2137,1,2137,True,107,23,23
train,1617,2100,2100,2100,1,2100,True,105,22,22
devval,1619,2112,2112,2112,1,2112,True,106,23,23
train,1620,2098,2098,2098,1,2098,True,105,22,21
devval,1621,2064,2064,2064,1,2064,True,104,22,22
train,1623,2106,2106,2106,1,2106,True,106,23,23
train,1627,2098,2098,2098,1,2098,True,105,22,22
train,1637,2086,2086,2086,1,2086,True,105,22,22
train,1639,2101,2101,2101,1,2101,True,106,22,22
train,1641,2095,2095,2095,1,2095,True,105,22,22
devval,1645,2106,2106,2106,1,2106,True,106,23,23
train,1646,2112,2112,2112,1,2112,True,106,23,23
train,1648,2145,2145,2145,1,2145,True,108,23,23
train,1650,2104,2104,2104,1,2104,True,106,23,23
train,1656,2125,2125,2125,1,2125,True,107,23,23
train,1658,2067,2067,2067,1,2067,True,104,22,22
train,1659,2070,2070,2070,1,2070,True,104,22,22
train,1662,2050,2050,2050,1,2050,True,103,22,22
train,1666,2062,2062,2062,1,2062,True,104,22,22
train,1667,2127,2127,2127,1,2127,True,107,23,23
train,1677,2092,2092,2092,1,2092,True,105,22,22
train,1678,2152,2152,2152,1,2152,True,108,23,23
train,1685,2169,2169,2169,1,2169,True,109,23,23
train,1686,2148,2148,2148,1,2148,True,108,23,23
train,1687,2157,2157,2157,1,2157,True,108,23,23
train,1689,2166,2166,2166,1,2166,True,109,23,23
train,1690,2184,2184,2184,1,2184,True,110,23,23
devval,1692,2161,2161,2161,1,2161,True,109,23,23
train,1695,2146,2146,2146,1,2146,True,108,23,22
devval,1697,2175,2175,2175,1,2175,True,109,23,23
train,1704,2172,2172,2172,1,2172,True,109,23,23
train,1705,2154,2154,2154,1,2154,True,108,23,23
train,1708,2149,2149,2149,1,2149,True,108,23,23
train,1711,2131,2131,2131,1,2131,True,107,23,23
train,1712,2148,2148,2148,1,2148,True,108,23,23
train,1713,2437,2437,2437,1,2437,True,122,26,26
train,1714,2151,2151,2151,1,2151,True,108,23,23
train,1715,2122,2122,2122,1,2122,True,107,23,23
train,1718,2167,2167,2167,1,2167,True,109,23,23
train,1721,2146,2146,2146,1,2146,True,108,23,23
devval,1723,2116,2116,2116,1,2116,True,106,23,23
devval,1726,2256,2256,2256,1,2256,True,113,24,24
devval,1727,2295,2295,2295,1,2295,True,115,24,24
train,1732,2143,2143,2143,1,2143,True,108,23,23
train,1738,2136,2136,2136,1,2136,True,107,23,23
train,1739,2164,2164,2164,1,2164,True,109,23,23
devval,1742,2121,2121,2121,1,2121,True,107,23,22
train,1744,2127,2127,2127,1,2127,True,107,23,23
train,1745,2115,2115,2115,1,2115,True,106,23,23
train,1746,2161,2161,2161,1,2161,True,109,23,23
train,1760,2128,2128,2128,1,2128,True,107,23,23
train,1763,2130,2130,2130,1,2130,True,107,23,23
train,1774,2140,2140,2140,1,2140,True,107,23,23
train,1775,2163,2163,2163,1,2163,True,109,23,23
train,1776,2115,2115,2115,1,2115,True,106,23,23
train,1778,2128,2128,2128,1,2128,True,107,23,23
train,1779,2110,2110,2110,1,2110,True,106,23,23
train,1780,2125,2125,2125,1,2125,True,107,22,21
devval,1785,2148,2148,2148,1,2148,True,108,23,23
train,1791,2164,2164,2164,1,2164,True,109,23,23
devval,1792,2181,2181,2181,1,2181,True,110,23,23
train,1794,2158,2158,2158,1,2158,True,108,23,23
train,1798,2145,2145,2145,1,2145,True,108,23,23
devval,1800,2248,2248,2248,1,2248,True,113,24,24
train,1804,2163,2163,2163,1,2163,True,109,23,23
devval,1806,2140,2140,2140,1,2140,True,107,23,23
train,1808,2097,2097,2097,1,2097,True,105,22,22
train,1809,2098,2098,2098,1,2098,True,105,22,22
train,1810,2058,2058,2058,1,2058,True,103,22,22
train,1813,2139,2139,2139,1,2139,True,107,23,22
train,1817,2124,2124,2124,1,2124,True,107,22,23
train,1821,2154,2154,2154,1,2154,True,108,23,23
devval,1828,2149,2149,2149,1,2149,True,108,23,22
train,1831,2118,2118,2118,1,2118,True,106,23,23
train,1832,2437,2437,2437,1,2437,True,122,25,26
train,1834,2110,2110,2110,1,2110,True,106,23,23
train,1848,2169,2169,2169,1,2169,True,109,20,23
train,1849,2154,2154,2154,1,2154,True,108,23,22
train,1855,2296,2296,2296,1,2296,True,115,24,24
train,1857,2250,2250,2250,1,2250,True,113,24,23
train,1860,2103,2103,2103,1,2103,True,106,22,23
train,1864,2118,2118,2118,1,2118,True,106,23,22
train,1865,2251,2251,2251,1,2251,True,113,24,24
devval,1867,2133,2133,2133,1,2133,True,107,20,23
devval,1871,2157,2157,2157,1,2157,True,108,19,23
