relative_path,status,triplet_frames,sampled_interval20,split
train/0979,COMPLETE,2106,106,train
train/0980,COMPLETE,2109,106,train
train/0985,COMPLETE,2106,106,devval
train/0989,COMPLETE,2079,104,train
train/0990,COMPLETE,2088,105,train
train/0991,COMPLETE,2242,113,devval
train/1046,COMPLETE,2000,100,train
train/1048,COMPLETE,2000,100,train
train/1049,COMPLETE,2000,100,train
train/1050,COMPLETE,2000,100,train
train/1058,COMPLETE,2000,100,devval
train/1065,COMPLETE,2000,100,train
train/1066,COMPLETE,2000,100,train
train/1068,COMPLETE,2000,100,train
train/1069,COMPLETE,2000,100,train
train/1070,COMPLETE,2000,100,devval
train/1073,COMPLETE,2000,100,train
train/1080,COMPLETE,2000,100,train
train/1096,COMPLETE,2000,100,devval
train/1102,COMPLETE,2000,100,train
train/1104,COMPLETE,2000,100,train
train/1201,COMPLETE,2000,100,train
train/1203,COMPLETE,2000,100,devval
train/1204,COMPLETE,2000,100,devval
train/1205,COMPLETE,2000,100,train
train/1207,COMPLETE,2000,100,devval
train/1208,COMPLETE,2000,100,train
train/1209,COMPLETE,2000,100,train
train/1419,COMPLETE,2000,100,train
train/1421,COMPLETE,2000,100,train
train/1424,COMPLETE,2000,100,train
train/1425,COMPLETE,2000,100,train
train/1426,COMPLETE,2000,100,train
train/1434,COMPLETE,2000,100,train
train/1436,COMPLETE,2000,100,train
train/1437,COMPLETE,2000,100,train
train/1444,COMPLETE,2000,100,train
train/1445,COMPLETE,2000,100,devval
train/1447,COMPLETE,2000,100,train
train/1449,COMPLETE,2000,100,train
train/1451,COMPLETE,2000,100,train
train/1452,COMPLETE,2000,100,train
train/1460,COMPLETE,2000,100,devval
train/1462,COMPLETE,2000,100,devval
train/1468,COMPLETE,2000,100,train
train/1475,COMPLETE,2000,100,train
train/1476,COMPLETE,2000,100,train
train/1477,COMPLETE,2000,100,train
train/1481,COMPLETE,2000,100,train
train/1482,COMPLETE,2000,100,train
train/1484,COMPLETE,2000,100,devval
train/1486,COMPLETE,2000,100,train
train/1487,COMPLETE,2000,100,train
train/1490,COMPLETE,2000,100,devval
train/1491,COMPLETE,2000,100,train
train/1494,COMPLETE,2000,100,train
train/1495,COMPLETE,2000,100,train
train/1502,COMPLETE,2000,100,train
train/1506,COMPLETE,2000,100,train
train/1512,COMPLETE,2000,100,devval
train/1513,COMPLETE,2000,100,train
train/1514,COMPLETE,2000,100,train
train/1515,COMPLETE,2000,100,train
train/1516,COMPLETE,2000,100,devval
train/1517,COMPLETE,2000,100,train
train/1518,COMPLETE,2000,100,train
train/1521,COMPLETE,2000,100,train
train/1522,COMPLETE,2000,100,train
train/1523,COMPLETE,2000,100,train
train/1525,COMPLETE,2000,100,train
train/1536,COMPLETE,2000,100,devval
train/1540,COMPLETE,2000,100,train
train/1541,COMPLETE,2000,100,train
train/1544,COMPLETE,2000,100,train
train/1546,COMPLETE,2000,100,train
train/1547,COMPLETE,2000,100,train
train/1550,COMPLETE,2000,100,train
train/1551,COMPLETE,2000,100,train
train/1553,COMPLETE,2000,100,train
train/1554,COMPLETE,2000,100,train
train/1555,COMPLETE,2000,100,train
train/1557,COMPLETE,2000,100,devval
train/1558,COMPLETE,2000,100,train
train/1560,COMPLETE,2000,100,train
train/1562,COMPLETE,2000,100,train
train/1567,COMPLETE,2000,100,train
train/1576,COMPLETE,2000,100,train
train/1577,COMPLETE,2000,100,devval
train/1591,COMPLETE,2000,100,train
train/1595,COMPLETE,2000,100,train
train/1598,COMPLETE,2000,100,train
train/1599,COMPLETE,2000,100,train
train/1603,COMPLETE,2103,106,train
train/1606,COMPLETE,2146,108,devval
train/1607,COMPLETE,2100,105,train
train/1608,COMPLETE,2130,107,train
train/1610,COMPLETE,2125,107,train
train/1615,COMPLETE,2137,107,train
train/1617,COMPLETE,2100,105,train
train/1619,COMPLETE,2112,106,devval
train/1620,COMPLETE,2098,105,train
train/1621,COMPLETE,2064,104,devval
train/1623,COMPLETE,2106,106,train
train/1627,COMPLETE,2098,105,train
train/1637,COMPLETE,2086,105,train
train/1639,COMPLETE,2101,106,train
train/1641,COMPLETE,2095,105,train
train/1645,COMPLETE,2106,106,devval
train/1646,COMPLETE,2112,106,train
train/1648,COMPLETE,2145,108,train
train/1650,COMPLETE,2104,106,train
train/1656,COMPLETE,2125,107,train
train/1658,COMPLETE,2067,104,train
train/1659,COMPLETE,2070,104,train
train/1662,COMPLETE,2050,103,train
train/1666,COMPLETE,2062,104,train
train/1667,COMPLETE,2127,107,train
train/1677,COMPLETE,2092,105,train
train/1678,COMPLETE,2152,108,train
train/1685,COMPLETE,2169,109,train
train/1686,COMPLETE,2148,108,train
train/1687,COMPLETE,2157,108,train
train/1689,COMPLETE,2166,109,train
train/1690,COMPLETE,2184,110,train
train/1692,COMPLETE,2161,109,devval
train/1695,COMPLETE,2146,108,train
train/1697,COMPLETE,2175,109,devval
train/1704,COMPLETE,2172,109,train
train/1705,COMPLETE,2154,108,train
train/1708,COMPLETE,2149,108,train
train/1711,COMPLETE,2131,107,train
train/1712,COMPLETE,2148,108,train
train/1713,COMPLETE,2437,122,train
train/1714,COMPLETE,2151,108,train
train/1715,COMPLETE,2122,107,train
train/1718,COMPLETE,2167,109,train
train/1721,COMPLETE,2146,108,train
train/1723,COMPLETE,2116,106,devval
train/1726,COMPLETE,2256,113,devval
train/1727,COMPLETE,2295,115,devval
train/1732,COMPLETE,2143,108,train
train/1738,COMPLETE,2136,107,train
train/1739,COMPLETE,2164,109,train
train/1742,COMPLETE,2121,107,devval
train/1744,COMPLETE,2127,107,train
train/1745,COMPLETE,2115,106,train
train/1746,COMPLETE,2161,109,train
train/1760,COMPLETE,2128,107,train
train/1763,COMPLETE,2130,107,train
train/1774,COMPLETE,2140,107,train
train/1775,COMPLETE,2163,109,train
train/1776,COMPLETE,2115,106,train
train/1778,COMPLETE,2128,107,train
train/1779,COMPLETE,2110,106,train
train/1780,COMPLETE,2125,107,train
train/1785,COMPLETE,2148,108,devval
train/1791,COMPLETE,2164,109,train
train/1792,COMPLETE,2181,110,devval
train/1794,COMPLETE,2158,108,train
train/1798,COMPLETE,2145,108,train
train/1800,COMPLETE,2248,113,devval
train/1804,COMPLETE,2163,109,train
train/1806,COMPLETE,2140,107,devval
train/1808,COMPLETE,2097,105,train
train/1809,COMPLETE,2098,105,train
train/1810,COMPLETE,2058,103,train
train/1813,COMPLETE,2139,107,train
train/1817,COMPLETE,2124,107,train
train/1821,COMPLETE,2154,108,train
train/1828,COMPLETE,2149,108,devval
train/1831,COMPLETE,2118,106,train
train/1832,COMPLETE,2437,122,train
train/1834,COMPLETE,2110,106,train
train/1848,COMPLETE,2169,109,train
train/1849,COMPLETE,2154,108,train
train/1855,COMPLETE,2296,115,train
train/1857,COMPLETE,2250,113,train
train/1860,COMPLETE,2103,106,train
train/1864,COMPLETE,2118,106,train
train/1865,COMPLETE,2251,113,train
train/1867,COMPLETE,2133,107,devval
train/1871,COMPLETE,2157,108,devval
