split,sequence,modality,missing_from_union_count,first_missing_indices,non_numeric_filenames,duplicate_numeric_indices
train,0009,ir,0,,0,0
train,0009,event,0,,0,0
train,0010,rgb,0,,1,0
train,0010,ir,0,,0,0
train,0010,event,0,,0,0
train,0011,rgb,0,,1,0
train,0011,ir,0,,0,0
train,0011,event,0,,0,0
train,0022,rgb,0,,1,0
train,0022,ir,0,,0,0
train,0022,event,0,,0,0
train,0027,rgb,0,,1,0
train,0027,ir,0,,0,0
train,0027,event,0,,0,0
train,0028,rgb,0,,1,0
train,0028,ir,0,,0,0
train,0028,event,0,,0,0
train,0029,rgb,0,,1,0
train,0029,ir,0,,0,0
train,0029,event,0,,0,0
train,0030,rgb,0,,1,0
train,0030,ir,0,,0,0
train,0030,event,0,,0,0
train,0031,rgb,0,,1,0
train,0031,ir,0,,0,0
train,0031,event,0,,0,0
train,0032,rgb,0,,1,0
train,0032,ir,0,,0,0
train,0032,event,0,,0,0
train,0033,rgb,0,,1,0
train,0033,ir,0,,0,0
train,0033,event,0,,0,0
train,0034,rgb,0,,1,0
train,0034,ir,0,,0,0
train,0034,event,0,,0,0
train,0035,rgb,0,,1,0
train,0035,ir,0,,0,0
train,0035,event,0,,0,0
train,0036,rgb,0,,1,0
train,0036,ir,0,,0,0
train,0036,event,0,,0,0
train,0037,rgb,0,,1,0
train,0037,ir,0,,0,0
train,0037,event,0,,0,0
train,0038,rgb,0,,1,0
train,0038,ir,0,,0,0
train,0038,event,0,,0,0
train,0039,rgb,0,,1,0
train,0039,ir,0,,0,0
train,0039,event,0,,0,0
train,0040,rgb,0,,1,0
train,0040,ir,0,,0,0
train,0040,event,0,,0,0
train,0041,rgb,0,,1,0
train,0041,ir,0,,0,0
train,0041,event,0,,0,0
train,0043,rgb,0,,1,0
train,0043,ir,0,,0,0
train,0043,event,0,,0,0
train,0044,rgb,0,,1,0
train,0044,ir,0,,0,0
train,0044,event,0,,0,0
train,0050,rgb,0,,1,0
train,0050,ir,0,,0,0
train,0050,event,0,,0,0
train,0051,rgb,0,,1,0
train,0051,ir,0,,0,0
train,0051,event,0,,0,0
train,0052,rgb,0,,1,0
train,0052,ir,0,,0,0
train,0052,event,0,,0,0
train,0053,rgb,0,,1,0
train,0053,ir,0,,0,0
train,0053,event,0,,0,0
train,0054,rgb,0,,1,0
train,0054,ir,0,,0,0
train,0054,event,0,,0,0
train,0055,rgb,0,,1,0
train,0055,ir,0,,0,0
train,0055,event,0,,0,0
train,0056,rgb,0,,1,0
train,0056,ir,0,,0,0
train,0056,event,0,,0,0
train,0057,rgb,0,,1,0
train,0057,ir,0,,0,0
train,0057,event,0,,0,0
train,0058,rgb,0,,1,0
train,0058,ir,0,,0,0
train,0058,event,0,,0,0
train,0059,rgb,0,,1,0
train,0059,ir,0,,0,0
train,0059,event,0,,0,0
train,0060,rgb,0,,1,0
train,0060,ir,0,,0,0
train,0060,event,0,,0,0
train,0061,rgb,0,,1,0
train,0061,ir,0,,0,0
train,0061,event,0,,0,0
train,0072,rgb,0,,1,0
train,0072,ir,0,,0,0
train,0072,event,0,,0,0
train,0073,rgb,0,,1,0
train,0073,ir,0,,0,0
train,0073,event,0,,0,0
train,0074,rgb,0,,1,0
train,0074,ir,0,,0,0
train,0074,event,0,,0,0
train,0075,rgb,0,,1,0
train,0075,ir,0,,0,0
train,0075,event,0,,0,0
train,0076,rgb,0,,1,0
train,0076,ir,0,,0,0
train,0076,event,0,,0,0
train,0077,rgb,0,,1,0
train,0077,ir,0,,0,0
train,0077,event,0,,0,0
train,0078,rgb,0,,1,0
train,0078,ir,0,,0,0
train,0078,event,0,,0,0
train,0079,rgb,0,,1,0
train,0079,ir,0,,0,0
train,0079,event,0,,0,0
train,0080,rgb,0,,1,0
train,0080,ir,0,,0,0
train,0080,event,0,,0,0
train,0081,rgb,0,,1,0
train,0081,ir,0,,0,0
train,0081,event,0,,0,0
train,0084,rgb,0,,1,0
train,0084,ir,0,,0,0
train,0084,event,0,,0,0
train,0087,rgb,0,,1,0
train,0087,ir,0,,0,0
train,0087,event,0,,0,0
train,0088,rgb,0,,1,0
train,0088,ir,0,,0,0
train,0088,event,0,,0,0
train,0089,rgb,0,,1,0
train,0089,ir,0,,0,0
train,0089,event,0,,0,0
train,0090,rgb,0,,1,0
train,0090,ir,0,,0,0
train,0090,event,0,,0,0
train,0091,rgb,0,,1,0
train,0091,ir,0,,0,0
train,0091,event,0,,0,0
train,0092,rgb,0,,1,0
train,0092,ir,0,,0,0
train,0092,event,0,,0,0
train,0093,rgb,0,,1,0
train,0093,ir,0,,0,0
train,0093,event,0,,0,0
train,0094,rgb,0,,1,0
train,0094,ir,0,,0,0
train,0094,event,0,,0,0
train,0095,rgb,0,,1,0
train,0095,ir,0,,0,0
train,0095,event,0,,0,0
train,0096,rgb,0,,1,0
train,0096,ir,0,,0,0
train,0096,event,0,,0,0
train,0097,rgb,0,,1,0
train,0097,ir,0,,0,0
train,0097,event,0,,0,0
train,0098,rgb,0,,1,0
train,0098,ir,0,,0,0
train,0098,event,0,,0,0
train,0099,rgb,0,,1,0
train,0099,ir,0,,0,0
train,0099,event,0,,0,0
train,0100,rgb,0,,1,0
train,0100,ir,0,,0,0
train,0100,event,0,,0,0
train,0101,rgb,0,,1,0
train,0101,ir,0,,0,0
train,0101,event,0,,0,0
train,0102,rgb,0,,1,0
train,0102,ir,0,,0,0
train,0102,event,0,,0,0
train,0103,rgb,0,,1,0
train,0103,ir,0,,0,0
train,0103,event,0,,0,0
train,0105,rgb,0,,1,0
train,0105,ir,0,,0,0
train,0105,event,0,,0,0
train,0106,rgb,0,,1,0
train,0106,ir,0,,0,0
train,0106,event,0,,0,0
train,0107,rgb,0,,1,0
train,0107,ir,0,,0,0
train,0107,event,0,,0,0
train,0108,rgb,0,,1,0
train,0108,ir,0,,0,0
train,0108,event,0,,0,0
train,0109,rgb,0,,1,0
train,0109,ir,0,,0,0
train,0109,event,0,,0,0
train,0110,rgb,0,,1,0
train,0110,ir,0,,0,0
train,0110,event,0,,0,0
train,0111,rgb,0,,1,0
train,0111,ir,0,,0,0
train,0111,event,0,,0,0
train,0112,rgb,0,,1,0
train,0112,ir,0,,0,0
train,0112,event,0,,0,0
train,0113,rgb,0,,1,0
train,0113,ir,0,,0,0
train,0113,event,0,,0,0
train,0114,rgb,0,,1,0
train,0114,ir,0,,0,0
train,0114,event,0,,0,0
train,0115,rgb,0,,1,0
train,0115,ir,0,,0,0
train,0115,event,0,,0,0
train,0116,rgb,0,,1,0
train,0116,ir,0,,0,0
train,0116,event,0,,0,0
train,0117,rgb,0,,1,0
train,0117,ir,0,,0,0
train,0117,event,0,,0,0
train,0118,rgb,0,,1,0
train,0118,ir,0,,0,0
train,0118,event,0,,0,0
train,0119,rgb,0,,1,0
train,0119,ir,0,,0,0
train,0119,event,0,,0,0
train,0120,rgb,0,,1,0
train,0120,ir,0,,0,0
train,0120,event,0,,0,0
train,0121,rgb,0,,1,0
train,0121,ir,0,,0,0
train,0121,event,0,,0,0
train,0122,rgb,0,,1,0
train,0122,ir,0,,0,0
train,0122,event,0,,0,0
train,0123,rgb,0,,1,0
train,0123,ir,0,,0,0
train,0123,event,0,,0,0
train,0126,rgb,0,,1,0
train,0126,ir,0,,0,0
train,0126,event,0,,0,0
train,0127,rgb,0,,1,0
train,0127,ir,0,,0,0
train,0127,event,0,,0,0
train,0128,rgb,0,,1,0
train,0128,ir,0,,0,0
train,0128,event,0,,0,0
train,0129,rgb,0,,1,0
train,0129,ir,0,,0,0
train,0129,event,0,,0,0
train,0130,rgb,0,,1,0
train,0130,ir,0,,0,0
train,0130,event,0,,0,0
train,0131,rgb,0,,1,0
train,0131,ir,0,,0,0
train,0131,event,0,,0,0
train,0132,rgb,0,,1,0
train,0132,ir,0,,0,0
train,0132,event,0,,0,0
train,0133,rgb,0,,1,0
train,0133,ir,0,,0,0
train,0133,event,0,,0,0
train,0134,rgb,0,,1,0
train,0134,ir,0,,0,0
train,0134,event,0,,0,0
train,0136,rgb,0,,1,0
train,0136,ir,0,,0,0
train,0136,event,0,,0,0
train,0137,rgb,0,,1,0
train,0137,ir,0,,0,0
train,0137,event,0,,0,0
train,0138,rgb,0,,1,0
train,0138,ir,0,,0,0
train,0138,event,0,,0,0
train,0139,rgb,0,,1,0
train,0139,ir,0,,0,0
train,0139,event,0,,0,0
train,0140,rgb,0,,1,0
train,0140,ir,0,,0,0
train,0140,event,0,,0,0
train,0141,rgb,0,,1,0
train,0141,ir,0,,0,0
train,0141,event,0,,0,0
train,0142,rgb,0,,1,0
train,0142,ir,0,,0,0
train,0142,event,0,,0,0
train,0143,rgb,0,,1,0
train,0143,ir,0,,0,0
train,0143,event,0,,0,0
train,0144,rgb,0,,1,0
train,0144,ir,0,,0,0
train,0144,event,0,,0,0
train,0145,rgb,0,,1,0
train,0145,ir,0,,0,0
train,0145,event,0,,0,0
train,0146,rgb,0,,1,0
train,0146,ir,0,,0,0
train,0146,event,0,,0,0
train,0147,rgb,0,,1,0
train,0147,ir,0,,0,0
train,0147,event,0,,0,0
train,0148,rgb,0,,1,0
train,0148,ir,0,,0,0
train,0148,event,0,,0,0
train,0149,rgb,0,,1,0
train,0149,ir,0,,0,0
train,0149,event,0,,0,0
train,0150,rgb,0,,1,0
train,0150,ir,0,,0,0
train,0150,event,0,,0,0
train,0151,rgb,0,,1,0
train,0151,ir,0,,0,0
train,0151,event,0,,0,0
train,0152,rgb,0,,1,0
train,0152,ir,0,,0,0
train,0152,event,0,,0,0
train,0153,rgb,0,,1,0
train,0153,ir,0,,0,0
train,0153,event,0,,0,0
train,0154,rgb,0,,1,0
train,0154,ir,0,,0,0
train,0154,event,0,,0,0
train,0155,rgb,0,,1,0
train,0155,ir,0,,0,0
train,0155,event,0,,0,0
train,0156,rgb,0,,1,0
train,0156,ir,0,,0,0
train,0156,event,0,,0,0
train,0157,rgb,0,,1,0
train,0157,ir,0,,0,0
train,0157,event,0,,0,0
train,0158,rgb,0,,1,0
train,0158,ir,0,,0,0
train,0158,event,0,,0,0
train,0159,rgb,0,,1,0
train,0159,ir,0,,0,0
train,0159,event,0,,0,0
train,0160,rgb,0,,1,0
train,0160,ir,0,,0,0
train,0160,event,0,,0,0
train,0161,rgb,0,,1,0
train,0161,ir,0,,0,0
train,0161,event,0,,0,0
train,0162,rgb,0,,1,0
train,0162,ir,0,,0,0
train,0162,event,0,,0,0
train,0163,rgb,0,,1,0
train,0163,ir,0,,0,0
train,0163,event,0,,0,0
train,0164,rgb,0,,1,0
train,0164,ir,0,,0,0
train,0164,event,0,,0,0
train,0165,rgb,0,,1,0
train,0165,ir,0,,0,0
train,0165,event,0,,0,0
train,0166,rgb,0,,1,0
train,0166,ir,0,,0,0
train,0166,event,0,,0,0
train,0167,rgb,0,,1,0
train,0167,ir,0,,0,0
train,0167,event,0,,0,0
train,0168,rgb,0,,1,0
train,0168,ir,0,,0,0
train,0168,event,0,,0,0
train,0169,rgb,0,,1,0
train,0169,ir,0,,0,0
train,0169,event,0,,0,0
train,0170,rgb,0,,1,0
train,0170,ir,0,,0,0
train,0170,event,0,,0,0
train,0171,rgb,0,,1,0
train,0171,ir,0,,0,0
train,0171,event,0,,0,0
train,0172,rgb,0,,1,0
train,0172,ir,0,,0,0
train,0172,event,0,,0,0
train,0173,rgb,0,,1,0
train,0173,ir,0,,0,0
train,0173,event,0,,0,0
train,0174,rgb,0,,1,0
train,0174,ir,0,,0,0
train,0174,event,0,,0,0
train,0175,rgb,0,,1,0
train,0175,ir,0,,0,0
train,0175,event,0,,0,0
train,0176,rgb,0,,1,0
train,0176,ir,0,,0,0
train,0176,event,0,,0,0
train,0177,rgb,0,,1,0
train,0177,ir,0,,0,0
train,0177,event,0,,0,0
train,0178,rgb,0,,1,0
train,0178,ir,0,,0,0
train,0178,event,0,,0,0
train,0179,rgb,0,,1,0
train,0179,ir,0,,0,0
train,0179,event,0,,0,0
train,0180,rgb,0,,1,0
train,0180,ir,0,,0,0
train,0180,event,0,,0,0
train,0181,rgb,0,,1,0
train,0181,ir,0,,0,0
train,0181,event,0,,0,0
train,0182,rgb,0,,1,0
train,0182,ir,0,,0,0
train,0182,event,0,,0,0
train,0183,rgb,0,,1,0
train,0183,ir,0,,0,0
train,0183,event,0,,0,0
train,0184,rgb,0,,1,0
train,0184,ir,0,,0,0
train,0184,event,0,,0,0
train,0185,rgb,0,,1,0
train,0185,ir,0,,0,0
train,0185,event,0,,0,0
train,0186,rgb,0,,1,0
train,0186,ir,0,,0,0
train,0186,event,0,,0,0
train,0187,rgb,0,,1,0
train,0187,ir,0,,0,0
train,0187,event,0,,0,0
train,0188,rgb,0,,1,0
train,0188,ir,0,,0,0
train,0188,event,0,,0,0
train,0189,rgb,0,,1,0
train,0189,ir,0,,0,0
train,0189,event,0,,0,0
train,0190,rgb,0,,1,0
train,0190,ir,0,,0,0
train,0190,event,0,,0,0
train,0191,rgb,0,,1,0
train,0191,ir,0,,0,0
train,0191,event,0,,0,0
train,0192,rgb,0,,1,0
train,0192,ir,0,,0,0
train,0192,event,0,,0,0
train,0193,rgb,0,,1,0
train,0193,ir,0,,0,0
train,0193,event,0,,0,0
train,0194,rgb,0,,1,0
train,0194,ir,0,,0,0
train,0194,event,0,,0,0
train,0195,rgb,0,,1,0
train,0195,ir,0,,0,0
train,0195,event,0,,0,0
train,0196,rgb,0,,1,0
train,0196,ir,0,,0,0
train,0196,event,0,,0,0
train,0197,rgb,0,,1,0
train,0197,ir,0,,0,0
train,0197,event,0,,0,0
train,0198,rgb,0,,1,0
train,0198,ir,0,,0,0
train,0198,event,0,,0,0
train,0199,rgb,0,,1,0
train,0199,ir,0,,0,0
train,0199,event,0,,0,0
train,0200,rgb,0,,1,0
train,0200,ir,0,,0,0
train,0200,event,0,,0,0
train,0201,rgb,0,,1,0
train,0201,ir,0,,0,0
train,0201,event,0,,0,0
train,0202,rgb,0,,1,0
train,0202,ir,0,,0,0
train,0202,event,0,,0,0
train,0203,rgb,0,,1,0
train,0203,ir,0,,0,0
train,0203,event,0,,0,0
train,0204,rgb,0,,1,0
train,0204,ir,0,,0,0
train,0204,event,0,,0,0
train,0205,rgb,0,,1,0
train,0205,ir,0,,0,0
train,0205,event,0,,0,0
train,0206,rgb,0,,1,0
train,0206,ir,0,,0,0
train,0206,event,0,,0,0
train,0207,rgb,0,,1,0
train,0207,ir,0,,0,0
train,0207,event,0,,0,0
train,0208,rgb,0,,1,0
train,0208,ir,0,,0,0
train,0208,event,0,,0,0
train,0209,rgb,0,,1,0
train,0209,ir,0,,0,0
train,0209,event,0,,0,0
train,0210,rgb,0,,1,0
train,0210,ir,0,,0,0
train,0210,event,0,,0,0
train,0211,rgb,0,,1,0
train,0211,ir,0,,0,0
train,0211,event,0,,0,0
train,0212,rgb,0,,1,0
train,0212,ir,0,,0,0
train,0212,event,0,,0,0
train,0213,rgb,0,,1,0
train,0213,ir,0,,0,0
train,0213,event,0,,0,0
train,0214,rgb,0,,1,0
train,0214,ir,0,,0,0
train,0214,event,0,,0,0
train,0215,rgb,0,,1,0
train,0215,ir,0,,0,0
train,0215,event,0,,0,0
train,0216,rgb,0,,1,0
train,0216,ir,0,,0,0
train,0216,event,0,,0,0
train,0217,rgb,0,,1,0
train,0217,ir,0,,0,0
train,0217,event,0,,0,0
train,0218,rgb,0,,1,0
train,0218,ir,0,,0,0
train,0218,event,0,,0,0
train,0219,rgb,0,,1,0
train,0219,ir,0,,0,0
train,0219,event,0,,0,0
train,0220,rgb,0,,1,0
train,0220,ir,0,,0,0
train,0220,event,0,,0,0
train,0221,rgb,0,,1,0
train,0221,ir,0,,0,0
train,0221,event,0,,0,0
train,0222,rgb,0,,1,0
train,0222,ir,0,,0,0
train,0222,event,0,,0,0
train,0223,rgb,0,,1,0
train,0223,ir,0,,0,0
train,0223,event,0,,0,0
train,0224,rgb,0,,1,0
train,0224,ir,0,,0,0
train,0224,event,0,,0,0
train,0225,rgb,0,,1,0
train,0225,ir,0,,0,0
train,0225,event,0,,0,0
train,0226,rgb,0,,1,0
train,0226,ir,0,,0,0
train,0226,event,0,,0,0
train,0227,rgb,0,,1,0
train,0227,ir,0,,0,0
train,0227,event,0,,0,0
train,0228,rgb,0,,1,0
train,0228,ir,0,,0,0
train,0228,event,0,,0,0
train,0229,rgb,0,,1,0
train,0229,ir,0,,0,0
train,0229,event,0,,0,0
train,0232,rgb,0,,1,0
train,0232,ir,0,,0,0
