component_id,sample_id_a,sample_id_b,partition_a,partition_b,exact_pixel_match,phash_distance,dhash_distance,risk_level,candidate_reason,high_risk_edge,edge_source
cdc_0021,frame_00115,frame_00118,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00116,frame_00117,train,train,false,2,12,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00116,frame_00118,train,train,false,0,15,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00116,frame_00119,train,train,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00117,frame_00118,train,train,false,2,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00117,frame_00119,train,train,false,4,15,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00117,frame_00120,train,train,false,4,12,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0021,frame_00118,frame_00119,train,train,false,4,10,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0022,frame_00125,frame_00126,train,train,false,4,12,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0023,frame_00127,frame_00128,train,train,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0024,frame_00130,frame_00131,train,train,false,2,18,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0025,frame_00132,frame_00133,train,train,false,4,12,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0026,frame_00140,frame_00141,train,train,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0027,frame_00143,frame_00144,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0028,frame_00146,frame_00147,train,train,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0028,frame_00147,frame_00148,train,train,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0029,frame_00158,frame_00159,train,train,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0030,frame_00160,frame_00161,train,train,false,4,13,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0030,frame_00160,frame_00163,train,train,false,4,17,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0030,frame_00161,frame_00163,train,train,false,4,24,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0031,frame_00170,frame_00171,train,train,false,2,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0032,frame_00172,frame_00174,train,train,false,4,25,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0033,frame_00173,frame_00175,train,train,false,4,30,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0034,frame_00196,frame_00197,validation,validation,false,4,18,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0035,frame_00209,frame_00210,validation,validation,false,2,15,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0036,frame_00215,frame_00217,validation,validation,false,4,17,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0037,frame_00228,frame_00229,validation,validation,false,4,15,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0037,frame_00229,frame_00230,validation,validation,false,2,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0037,frame_00230,frame_00232,validation,validation,false,4,14,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0037,frame_00231,frame_00232,validation,validation,false,2,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0038,frame_00239,frame_00242,validation,validation,false,8,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0038,frame_00240,frame_00242,validation,validation,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0038,frame_00241,frame_00242,validation,validation,false,2,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0038,frame_00241,frame_00244,validation,validation,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0039,frame_00253,frame_00254,validation,validation,false,2,16,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0040,frame_00296,frame_00297,train,train,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0041,frame_00302,frame_00303,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0042,frame_00304,frame_00305,train,train,false,2,14,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0043,frame_00308,frame_00309,train,train,false,2,10,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0044,frame_00310,frame_00311,train,train,false,4,17,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0044,frame_00310,frame_00312,train,train,false,4,14,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0044,frame_00311,frame_00312,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0045,frame_00332,frame_00333,train,train,false,4,13,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0046,frame_00335,frame_00336,train,train,false,4,17,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00347,frame_00381,train,train,false,12,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00347,frame_00386,train,train,false,12,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00347,frame_00394,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00347,frame_00395,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00348,frame_00371,train,train,false,22,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00348,frame_00379,train,train,false,20,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00348,frame_00388,train,train,false,14,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00363,frame_00364,train,train,false,14,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00363,frame_00372,train,train,false,10,1,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00364,frame_00365,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00364,frame_00368,train,train,false,16,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00365,frame_00366,train,train,false,10,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00365,frame_00367,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00366,frame_00367,train,train,false,4,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00368,frame_00369,train,train,false,8,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00368,frame_00370,train,train,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00369,frame_00370,train,train,false,8,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00370,frame_00371,train,train,false,2,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00374,frame_00377,train,train,false,18,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00374,frame_00386,train,train,false,20,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00377,frame_00378,train,train,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00377,frame_00379,train,train,false,8,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00378,frame_00379,train,train,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00379,frame_00386,train,train,false,20,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00380,frame_00381,train,train,false,10,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00381,frame_00382,train,train,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00381,frame_00386,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00381,frame_00388,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00381,frame_00393,train,train,false,14,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00381,frame_00394,train,train,false,14,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00381,frame_00395,train,train,false,12,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00381,frame_00396,train,train,false,16,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00381,frame_00397,train,train,false,14,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00382,frame_00383,train,train,false,8,2,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00382,frame_00396,train,train,false,16,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00383,frame_00388,train,train,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00385,frame_00389,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00385,frame_00390,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00387,frame_00388,train,train,false,12,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00388,frame_00391,train,train,false,2,2,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00389,frame_00390,train,train,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00390,frame_00391,train,train,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00391,frame_00397,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00392,frame_00393,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00392,frame_00394,train,train,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00392,frame_00395,train,train,false,4,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00392,frame_00396,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00392,frame_00397,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00392,frame_00398,train,train,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00393,frame_00394,train,train,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00393,frame_00395,train,train,false,2,2,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00393,frame_00396,train,train,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00393,frame_00398,train,train,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00394,frame_00395,train,train,false,2,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00395,frame_00396,train,train,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00397,frame_00399,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00399,frame_00400,train,train,false,2,3,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00399,frame_00401,train,train,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0047,frame_00400,frame_00401,train,train,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0048,frame_00353,frame_00356,train,train,false,22,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0049,frame_00358,frame_00360,train,train,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0049,frame_00358,frame_00361,train,train,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0049,frame_00358,frame_00384,train,train,false,8,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0049,frame_00360,frame_00384,train,train,false,8,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0049,frame_00361,frame_00384,train,train,false,8,2,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0050,frame_00375,frame_00376,train,train,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0051,frame_00402,frame_00404,train,train,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0051,frame_00404,frame_00410,train,train,false,18,2,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0051,frame_00410,frame_00411,train,train,false,8,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0051,frame_00410,frame_00415,train,train,false,4,21,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0051,frame_00414,frame_00415,train,train,false,4,2,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0051,frame_00414,frame_00416,train,train,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0051,frame_00415,frame_00416,train,train,false,8,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0052,frame_00405,frame_00406,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0052,frame_00405,frame_00407,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0052,frame_00406,frame_00407,train,train,false,0,2,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0053,frame_00409,frame_00412,train,train,false,10,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00418,frame_00419,train,train,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00419,frame_00420,train,train,false,4,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00419,frame_00423,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00419,frame_00448,train,validation,false,32,8,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00419,frame_00451,train,validation,false,28,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00419,frame_00472,train,validation,false,30,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00420,frame_00421,train,train,false,2,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00420,frame_00422,train,train,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00420,frame_00423,train,train,false,0,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00420,frame_00424,train,train,false,2,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00421,frame_00422,train,train,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00421,frame_00423,train,train,false,2,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00421,frame_00424,train,train,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00421,frame_00451,train,validation,false,26,8,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00421,frame_00472,train,validation,false,28,8,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00422,frame_00423,train,train,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00422,frame_00448,train,validation,false,28,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00422,frame_00450,train,validation,false,26,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00422,frame_00451,train,validation,false,26,6,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00422,frame_00472,train,validation,false,28,8,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00423,frame_00424,train,train,false,2,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00424,frame_00451,train,validation,false,22,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00425,frame_00426,train,train,false,10,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00425,frame_00451,train,validation,false,26,8,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00426,frame_00450,train,validation,false,26,8,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00426,frame_00451,train,validation,false,22,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00426,frame_00472,train,validation,false,32,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00427,frame_00428,train,train,false,2,3,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00427,frame_00449,train,validation,false,22,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00427,frame_00450,train,validation,false,22,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00427,frame_00451,train,validation,false,22,8,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00427,frame_00472,train,validation,false,30,8,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00429,frame_00449,train,validation,false,20,7,secondary,dhash<=8,no,original_train_val_review_component
cdc_0054,frame_00448,frame_00449,validation,validation,false,2,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00448,frame_00450,validation,validation,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00448,frame_00451,validation,validation,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00449,frame_00450,validation,validation,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00449,frame_00451,validation,validation,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0054,frame_00451,frame_00472,validation,validation,false,24,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0055,frame_00430,frame_00431,train,train,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00452,frame_00458,validation,validation,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00452,frame_00459,validation,validation,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00452,frame_00460,validation,validation,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00452,frame_00461,validation,validation,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00458,frame_00459,validation,validation,false,2,0,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00458,frame_00460,validation,validation,false,2,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00458,frame_00461,validation,validation,false,2,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00459,frame_00460,validation,validation,false,0,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00459,frame_00461,validation,validation,false,0,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0056,frame_00460,frame_00461,validation,validation,false,0,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00453,frame_00454,validation,validation,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00453,frame_00456,validation,validation,false,8,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00453,frame_00457,validation,validation,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00454,frame_00455,validation,validation,false,8,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00454,frame_00456,validation,validation,false,2,1,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00454,frame_00457,validation,validation,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00454,frame_00462,validation,validation,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00455,frame_00456,validation,validation,false,6,3,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00456,frame_00457,validation,validation,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00457,frame_00462,validation,validation,false,2,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00457,frame_00465,validation,validation,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00457,frame_00469,validation,validation,false,4,11,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00462,frame_00465,validation,validation,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00462,frame_00466,validation,validation,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00462,frame_00469,validation,validation,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00465,frame_00466,validation,validation,false,4,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00465,frame_00469,validation,validation,false,4,9,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0057,frame_00466,frame_00469,validation,validation,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0058,frame_00463,frame_00464,validation,validation,false,4,2,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0059,frame_00467,frame_00468,validation,validation,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0060,frame_00470,frame_00473,validation,validation,false,4,7,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0060,frame_00473,frame_00474,validation,validation,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0061,frame_00476,frame_00479,validation,validation,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0061,frame_00479,frame_00484,validation,validation,false,2,15,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0061,frame_00483,frame_00484,validation,validation,false,4,4,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0062,frame_00481,frame_00482,validation,validation,false,4,5,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0063,frame_00485,frame_00486,validation,validation,false,6,4,high,dhash<=4,yes,full_train_val_universe_high_risk
cdc_0063,frame_00486,frame_00487,validation,validation,false,2,3,high,phash<=4;dhash<=4,yes,full_train_val_universe_high_risk
cdc_0064,frame_00488,frame_00489,validation,validation,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0065,frame_00491,frame_00492,validation,validation,false,4,6,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0065,frame_00491,frame_00493,validation,validation,false,4,8,high,phash<=4,yes,full_train_val_universe_high_risk
cdc_0065,frame_00492,frame_00493,validation,validation,false,2,8,high,phash<=4,yes,full_train_val_universe_high_risk
