component_id,sample_id,old_partition
cdc_0054,frame_00421,train
cdc_0054,frame_00422,train
cdc_0054,frame_00423,train
cdc_0054,frame_00424,train
cdc_0054,frame_00425,train
cdc_0054,frame_00426,train
cdc_0054,frame_00427,train
cdc_0054,frame_00428,train
cdc_0054,frame_00429,train
cdc_0054,frame_00448,val
cdc_0054,frame_00449,val
cdc_0054,frame_00450,val
cdc_0054,frame_00451,val
cdc_0054,frame_00472,val
cdc_0055,frame_00430,train
cdc_0055,frame_00431,train
cdc_0056,frame_00452,val
cdc_0056,frame_00458,val
cdc_0056,frame_00459,val
cdc_0056,frame_00460,val
cdc_0056,frame_00461,val
cdc_0057,frame_00453,val
cdc_0057,frame_00454,val
cdc_0057,frame_00455,val
cdc_0057,frame_00456,val
cdc_0057,frame_00457,val
cdc_0057,frame_00462,val
cdc_0057,frame_00465,val
cdc_0057,frame_00466,val
cdc_0057,frame_00469,val
cdc_0058,frame_00463,val
cdc_0058,frame_00464,val
cdc_0059,frame_00467,val
cdc_0059,frame_00468,val
cdc_0060,frame_00470,val
cdc_0060,frame_00473,val
cdc_0060,frame_00474,val
cdc_0061,frame_00476,val
cdc_0061,frame_00479,val
cdc_0061,frame_00483,val
cdc_0061,frame_00484,val
cdc_0062,frame_00481,val
cdc_0062,frame_00482,val
cdc_0063,frame_00485,val
cdc_0063,frame_00486,val
cdc_0063,frame_00487,val
cdc_0064,frame_00488,val
cdc_0064,frame_00489,val
cdc_0065,frame_00491,val
cdc_0065,frame_00492,val
cdc_0065,frame_00493,val
cdc_0065,frame_00503,val
cdc_0065,frame_00504,val
cdc_0065,frame_00505,val
cdc_0065,frame_00506,val
cdc_0065,frame_00507,val
cdc_0065,frame_00508,val
cdc_0065,frame_00509,val
cdc_0065,frame_00510,val
cdc_0065,frame_00528,train
cdc_0065,frame_00529,train
cdc_0065,frame_00530,train
cdc_0065,frame_00531,train
cdc_0065,frame_00532,train
cdc_0065,frame_00533,train
cdc_0065,frame_00534,train
cdc_0065,frame_00535,train
cdc_0065,frame_00536,train
cdc_0065,frame_00537,train
cdc_0065,frame_00538,train
cdc_0065,frame_00539,train
cdc_0065,frame_00540,train
cdc_0065,frame_00542,train
cdc_0065,frame_00543,train
cdc_0065,frame_00544,train
cdc_0065,frame_00545,train
cdc_0065,frame_00546,train
cdc_0065,frame_00547,train
cdc_0065,frame_00548,train
cdc_0065,frame_00549,train
cdc_0065,frame_00550,train
cdc_0065,frame_00551,train
cdc_0065,frame_00552,train
cdc_0065,frame_00553,train
cdc_0065,frame_00554,train
cdc_0065,frame_00555,train
cdc_0065,frame_00557,train
cdc_0065,frame_00567,train
cdc_0065,frame_00568,train
cdc_0065,frame_00569,train
cdc_0065,frame_00570,train
cdc_0065,frame_00571,train
cdc_0065,frame_00572,train
cdc_0065,frame_00573,train
cdc_0065,frame_00574,train
cdc_0066,frame_00494,val
cdc_0066,frame_00495,val
cdc_0067,frame_00496,val
cdc_0067,frame_00497,val
cdc_0067,frame_00498,val
cdc_0067,frame_00499,val
cdc_0067,frame_00500,val
cdc_0067,frame_00501,val
cdc_0067,frame_00502,val
cdc_0068,frame_00559,train
cdc_0068,frame_00560,train
cdc_0068,frame_00561,train
cdc_0068,frame_00562,train
cdc_0068,frame_00563,train
cdc_0068,frame_00564,train
cdc_0069,frame_00575,train
cdc_0069,frame_00576,train
cdc_0069,frame_00577,train
cdc_0069,frame_00578,train
cdc_0070,frame_00580,train
cdc_0070,frame_00583,train
cdc_0070,frame_00584,train
cdc_0070,frame_00585,train
cdc_0070,frame_00586,train
cdc_0070,frame_00587,train
cdc_0070,frame_00588,train
cdc_0070,frame_00589,train
cdc_0070,frame_00590,train
cdc_0070,frame_00591,train
cdc_0070,frame_00592,train
cdc_0070,frame_00593,train
cdc_0071,frame_00581,train
cdc_0071,frame_00582,train
cdc_0071,frame_00594,train
cdc_0071,frame_00595,train
cdc_0071,frame_00596,train
cdc_0071,frame_00597,train
cdc_0071,frame_00598,train
cdc_0071,frame_00599,train
cdc_0071,frame_00600,train
cdc_0071,frame_00601,train
cdc_0071,frame_00602,train
cdc_0071,frame_00603,train
cdc_0071,frame_00604,train
cdc_0071,frame_00605,train
cdc_0071,frame_00606,train
cdc_0071,frame_00607,train
cdc_0071,frame_00608,train
cdc_0071,frame_00609,train
cdc_0071,frame_00610,train
cdc_0071,frame_00611,train
cdc_0071,frame_00612,train
cdc_0071,frame_00613,train
cdc_0071,frame_00614,train
cdc_0071,frame_00615,train
cdc_0071,frame_00616,train
cdc_0071,frame_00617,train
cdc_0071,frame_00618,train
cdc_0071,frame_00619,train
cdc_0071,frame_00620,train
cdc_0071,frame_00621,train
cdc_0071,frame_00622,train
cdc_0071,frame_00623,train
cdc_0071,frame_00624,train
cdc_0072,frame_00625,train
cdc_0072,frame_00626,train
cdc_0072,frame_00627,train
cdc_0072,frame_00628,train
cdc_0072,frame_00629,train
cdc_0072,frame_00630,train
cdc_0072,frame_00631,train
cdc_0072,frame_00632,train
cdc_0073,frame_00633,train
cdc_0073,frame_00634,train
cdc_0073,frame_00635,train
cdc_0074,frame_00641,train
cdc_0074,frame_00642,train
cdc_0074,frame_00643,train
cdc_0075,frame_00646,train
cdc_0075,frame_00647,train
cdc_0075,frame_00648,train
cdc_0075,frame_00649,train
cdc_0076,frame_00652,train
cdc_0076,frame_00653,train
cdc_0076,frame_00654,train
cdc_0077,frame_00659,train
cdc_0077,frame_00660,train
cdc_0078,frame_00671,train
cdc_0078,frame_00672,train
cdc_0079,frame_00679,train
cdc_0079,frame_00680,train
cdc_0079,frame_00681,train
cdc_0080,frame_00704,val
cdc_0080,frame_00707,val
cdc_0081,frame_00705,val
cdc_0081,frame_00706,val
cdc_0082,frame_00709,val
cdc_0082,frame_00710,val
cdc_0082,frame_00711,val
cdc_0082,frame_00712,val
cdc_0083,frame_00713,val
cdc_0083,frame_00714,val
cdc_0083,frame_00715,val
cdc_0084,frame_00729,val
cdc_0084,frame_00730,val
cdc_0085,frame_00758,val
cdc_0085,frame_00759,val
cdc_0085,frame_00760,val
cdc_0086,frame_00761,val
cdc_0086,frame_00762,val
cdc_0086,frame_00763,val
cdc_0087,frame_00765,val
cdc_0087,frame_00766,val
cdc_0088,frame_00787,train
cdc_0088,frame_00788,train
cdc_0088,frame_00789,train
cdc_0088,frame_00790,train
cdc_0088,frame_00791,train
cdc_0088,frame_00792,train
cdc_0088,frame_00793,train
cdc_0089,frame_00799,train
cdc_0089,frame_00800,train
cdc_0090,frame_00806,train
cdc_0090,frame_00808,train
cdc_0090,frame_00809,train
cdc_0090,frame_00810,train
cdc_0090,frame_00811,train
cdc_0090,frame_00812,train
cdc_0090,frame_00813,train
cdc_0091,frame_00832,val
cdc_0091,frame_00833,val
cdc_0092,frame_00855,val
cdc_0092,frame_00856,val
cdc_0092,frame_00857,val
cdc_0092,frame_00858,val
cdc_0093,frame_00863,val
cdc_0093,frame_00864,val
cdc_0094,frame_00869,val
cdc_0094,frame_00870,val
cdc_0094,frame_00871,val
cdc_0094,frame_00872,val
cdc_0095,frame_00883,val
cdc_0095,frame_00884,val
cdc_0095,frame_00885,val
cdc_0095,frame_00886,val
cdc_0095,frame_00887,val
cdc_0095,frame_00888,val
cdc_0095,frame_00889,val
cdc_0096,frame_00893,val
cdc_0096,frame_00894,val
cdc_0096,frame_00895,val
cdc_0097,frame_00912,train
cdc_0097,frame_00913,train
cdc_0097,frame_00915,train
cdc_0098,frame_00916,train
cdc_0098,frame_00917,train
cdc_0099,frame_00920,train
cdc_0099,frame_00921,train
cdc_0099,frame_00922,train
cdc_0099,frame_00923,train
cdc_0099,frame_00924,train
cdc_0099,frame_00925,train
cdc_0100,frame_00926,train
cdc_0100,frame_00927,train
cdc_0100,frame_00928,train
cdc_0100,frame_00929,train
cdc_0101,frame_00933,train
cdc_0101,frame_00934,train
cdc_0101,frame_00935,train
cdc_0101,frame_00936,train
cdc_0101,frame_00937,train
cdc_0101,frame_00938,train
cdc_0101,frame_00939,train
cdc_0101,frame_00940,train
cdc_0101,frame_00941,train
cdc_0101,frame_00942,train
cdc_0101,frame_00960,val
cdc_0101,frame_00961,val
cdc_0101,frame_00966,val
cdc_0101,frame_00967,val
cdc_0101,frame_00968,val
cdc_0101,frame_00969,val
cdc_0101,frame_00970,val
cdc_0101,frame_00973,val
cdc_0102,frame_00943,train
cdc_0102,frame_00982,val
cdc_0103,frame_00963,val
cdc_0103,frame_00974,val
cdc_0104,frame_00977,val
cdc_0104,frame_00978,val
cdc_0105,frame_00979,val
cdc_0105,frame_00981,val
cdc_0106,frame_00985,val
cdc_0106,frame_00986,val
cdc_0106,frame_00987,val
cdc_0107,frame_00991,val
cdc_0107,frame_00992,val
cdc_0108,frame_00993,val
cdc_0108,frame_00994,val
cdc_0109,frame_00996,val
cdc_0109,frame_00998,val
cdc_0110,frame_01000,val
cdc_0110,frame_01002,val
cdc_0111,frame_01001,val
cdc_0111,frame_01003,val
cdc_0111,frame_01004,val
cdc_0112,frame_01006,val
cdc_0112,frame_01007,val
cdc_0112,frame_01009,val
cdc_0112,frame_01010,val
cdc_0112,frame_01011,val
cdc_0112,frame_01012,val
cdc_0113,frame_01019,val
cdc_0113,frame_01020,val
cdc_0114,frame_01041,train
cdc_0114,frame_01042,train
cdc_0114,frame_01044,train
cdc_0115,frame_01045,train
cdc_0115,frame_01047,train
cdc_0116,frame_01073,train
cdc_0116,frame_01074,train
cdc_0117,frame_01076,train
cdc_0117,frame_01077,train
cdc_0117,frame_01078,train
cdc_0117,frame_02518,val
cdc_0117,frame_02519,val
cdc_0117,frame_02520,val
cdc_0117,frame_02521,val
cdc_0118,frame_01086,train
cdc_0118,frame_01087,train
cdc_0119,frame_01088,train
cdc_0119,frame_02523,val
cdc_0119,frame_02524,val
cdc_0119,frame_02525,val
cdc_0119,frame_02526,val
cdc_0119,frame_02527,val
cdc_0119,frame_02528,val
cdc_0119,frame_02529,val
cdc_0119,frame_02530,val
cdc_0119,frame_02531,val
cdc_0120,frame_01091,train
cdc_0120,frame_01092,train
cdc_0120,frame_01093,train
cdc_0121,frame_01094,train
cdc_0121,frame_01101,train
cdc_0122,frame_01096,train
cdc_0122,frame_01098,train
cdc_0123,frame_01104,train
cdc_0123,frame_01105,train
cdc_0123,frame_01106,train
cdc_0123,frame_01107,train
cdc_0123,frame_02514,val
cdc_0124,frame_01113,train
cdc_0124,frame_02515,val
cdc_0125,frame_01121,train
cdc_0125,frame_01122,train
cdc_0125,frame_01123,train
cdc_0125,frame_01124,train
cdc_0126,frame_01132,train
cdc_0126,frame_01133,train
cdc_0126,frame_01134,train
cdc_0126,frame_01135,train
cdc_0127,frame_01158,train
cdc_0127,frame_01159,train
cdc_0128,frame_01163,train
cdc_0128,frame_01164,train
cdc_0129,frame_01168,train
cdc_0129,frame_01169,train
cdc_0129,frame_01170,train
cdc_0129,frame_01171,train
cdc_0129,frame_01178,train
cdc_0129,frame_01179,train
cdc_0129,nframe_03462,val
cdc_0129,nframe_03463,val
cdc_0129,nframe_03464,val
cdc_0129,nframe_03465,val
cdc_0129,nframe_03473,val
cdc_0130,frame_01186,train
cdc_0130,frame_01187,train
cdc_0131,frame_01188,train
cdc_0131,frame_01189,train
cdc_0131,frame_01191,train
cdc_0131,frame_01192,train
cdc_0131,frame_01193,train
cdc_0131,frame_01194,train
cdc_0131,frame_01195,train
cdc_0131,frame_01196,train
cdc_0131,frame_01197,train
cdc_0131,frame_01221,val
cdc_0132,frame_01217,val
cdc_0132,frame_01218,val
cdc_0133,frame_01219,val
cdc_0133,frame_01220,val
cdc_0134,frame_01223,val
cdc_0134,frame_01224,val
cdc_0134,frame_01225,val
cdc_0134,frame_01226,val
cdc_0135,frame_01227,val
cdc_0135,frame_01228,val
cdc_0136,frame_01230,val
cdc_0136,frame_01231,val
cdc_0136,frame_01234,val
cdc_0136,frame_01235,val
cdc_0136,frame_01236,val
cdc_0136,frame_01237,val
cdc_0136,frame_01239,val
cdc_0136,frame_01240,val
cdc_0137,frame_01245,val
cdc_0137,frame_01246,val
cdc_0137,frame_01247,val
cdc_0137,frame_01248,val
cdc_0137,frame_01249,val
cdc_0137,frame_01250,val
cdc_0137,frame_01251,val
cdc_0138,frame_01253,val
cdc_0138,frame_01254,val
cdc_0139,frame_01256,val
cdc_0139,frame_01257,val
cdc_0139,frame_01258,val
cdc_0140,frame_01263,val
cdc_0140,frame_01318,train
cdc_0141,frame_01266,val
cdc_0141,frame_01267,val
cdc_0142,frame_01272,val
cdc_0142,frame_01273,val
cdc_0142,frame_01274,val
cdc_0143,frame_01303,train
cdc_0143,frame_01304,train
cdc_0143,frame_01305,train
cdc_0144,frame_01332,train
cdc_0144,frame_01333,train
cdc_0145,frame_01358,train
cdc_0145,frame_01359,train
cdc_0146,frame_01377,train
cdc_0146,frame_01378,train
cdc_0147,frame_01387,train
cdc_0147,frame_01388,train
cdc_0147,frame_01389,train
cdc_0148,frame_01390,train
cdc_0148,frame_01391,train
cdc_0148,frame_01392,train
cdc_0149,frame_01394,train
cdc_0149,frame_01395,train
cdc_0150,frame_01400,train
cdc_0150,frame_01401,train
cdc_0151,frame_01403,train
cdc_0151,frame_01404,train
cdc_0151,frame_01405,train
cdc_0152,frame_01406,train
cdc_0152,frame_01407,train
cdc_0153,frame_01415,train
cdc_0153,frame_01416,train
cdc_0153,frame_01417,train
cdc_0154,frame_01425,train
cdc_0154,frame_01426,train
cdc_0154,frame_01427,train
cdc_0154,frame_01428,train
cdc_0155,frame_01445,train
cdc_0155,frame_01446,train
cdc_0156,frame_01454,train
cdc_0156,frame_01455,train
cdc_0156,frame_01456,train
cdc_0157,frame_01462,train
cdc_0157,frame_01463,train
cdc_0158,frame_01472,train
cdc_0158,frame_01473,train
cdc_0159,frame_01486,train
cdc_0159,frame_01487,train
cdc_0160,frame_01488,train
cdc_0160,frame_01489,train
cdc_0161,frame_01490,train
cdc_0161,frame_01491,train
cdc_0162,frame_01494,train
cdc_0162,frame_01495,train
cdc_0163,frame_01498,train
cdc_0163,frame_01499,train
cdc_0163,frame_01500,train
cdc_0163,frame_01501,train
cdc_0164,frame_01509,train
cdc_0164,frame_01510,train
cdc_0165,frame_01524,train
cdc_0165,frame_01525,train
cdc_0166,frame_01536,train
cdc_0166,frame_01537,train
cdc_0167,frame_01541,train
cdc_0167,frame_01542,train
cdc_0168,frame_01562,train
cdc_0168,frame_01563,train
cdc_0169,frame_01567,train
cdc_0169,frame_01568,train
cdc_0169,frame_01569,train
cdc_0170,frame_01576,train
cdc_0170,frame_01577,train
cdc_0170,frame_01578,train
cdc_0171,frame_01583,train
cdc_0171,frame_01584,train
cdc_0171,frame_01585,train
cdc_0171,frame_01586,train
cdc_0171,frame_01587,train
cdc_0171,frame_01588,train
cdc_0172,frame_01595,train
cdc_0172,frame_01596,train
cdc_0172,frame_01597,train
cdc_0172,frame_01598,train
cdc_0172,frame_01599,train
cdc_0173,frame_01604,train
cdc_0173,frame_01605,train
cdc_0174,frame_01606,train
cdc_0174,frame_01607,train
cdc_0175,frame_01610,train
cdc_0175,frame_01611,train
cdc_0176,frame_01613,train
cdc_0176,frame_01614,train
cdc_0176,frame_01615,train
cdc_0176,frame_01616,train
cdc_0177,frame_01617,train
cdc_0177,frame_01620,train
cdc_0178,frame_01621,train
cdc_0178,frame_01622,train
cdc_0179,frame_01625,train
cdc_0179,frame_01626,train
cdc_0179,frame_01627,train
cdc_0179,frame_01629,train
cdc_0179,frame_01630,train
cdc_0179,frame_01631,train
cdc_0179,frame_01632,train
cdc_0180,frame_01640,train
cdc_0180,frame_01645,train
cdc_0181,frame_01641,train
cdc_0181,frame_01642,train
cdc_0181,frame_01643,train
cdc_0181,frame_01644,train
cdc_0182,frame_01655,train
cdc_0182,frame_01656,train
cdc_0183,frame_01657,train
cdc_0183,frame_01658,train
cdc_0184,frame_01659,train
cdc_0184,frame_01660,train
cdc_0184,frame_01661,train
cdc_0185,frame_01662,train
cdc_0185,frame_01663,train
cdc_0186,frame_01664,train
cdc_0186,frame_01665,train
cdc_0187,frame_01672,train
cdc_0187,frame_01673,train
cdc_0188,frame_01675,train
cdc_0188,frame_01676,train
cdc_0189,frame_01677,train
cdc_0189,frame_01678,train
cdc_0190,frame_01684,train
cdc_0190,frame_01685,train
cdc_0190,frame_01686,train
cdc_0190,frame_01687,train
cdc_0190,frame_01688,train
cdc_0190,frame_01689,train
cdc_0190,frame_01690,train
cdc_0190,frame_01691,train
cdc_0190,frame_01692,train
cdc_0190,frame_01693,train
cdc_0190,frame_01694,train
cdc_0191,frame_01703,train
cdc_0191,frame_01704,train
cdc_0192,frame_01706,train
cdc_0192,frame_01707,train
cdc_0192,frame_01708,train
cdc_0193,frame_01711,train
cdc_0193,frame_01712,train
cdc_0193,frame_01713,train
cdc_0193,frame_01714,train
cdc_0194,frame_01716,train
cdc_0194,frame_01717,train
cdc_0194,frame_01718,train
cdc_0194,frame_01719,train
cdc_0195,frame_01725,train
cdc_0195,frame_01726,train
cdc_0196,frame_01729,train
cdc_0196,frame_01730,train
cdc_0197,frame_01731,train
cdc_0197,frame_01733,train
cdc_0198,frame_01734,train
cdc_0198,frame_01735,train
cdc_0198,frame_01736,train
cdc_0198,frame_01737,train
cdc_0199,frame_01740,train
cdc_0199,frame_01742,train
cdc_0199,frame_01743,train
cdc_0199,frame_01745,train
cdc_0200,frame_01750,train
cdc_0200,frame_01751,train
cdc_0200,frame_01752,train
cdc_0201,frame_01756,train
cdc_0201,frame_01757,train
cdc_0202,frame_01762,train
cdc_0202,frame_01763,train
cdc_0202,frame_01764,train
cdc_0202,frame_01765,train
cdc_0202,frame_01766,train
cdc_0202,frame_01767,train
cdc_0203,frame_01774,train
cdc_0203,frame_01775,train
cdc_0203,frame_01776,train
cdc_0203,frame_01777,train
cdc_0204,frame_01783,train
cdc_0204,frame_01784,train
cdc_0204,frame_01785,train
cdc_0204,frame_01786,train
cdc_0205,frame_01789,train
cdc_0205,frame_01790,train
cdc_0205,frame_01791,train
cdc_0205,frame_01792,train
cdc_0206,frame_01797,train
cdc_0206,frame_01798,train
cdc_0206,frame_01799,train
cdc_0206,frame_01800,train
cdc_0206,frame_01801,train
cdc_0207,frame_01802,train
cdc_0207,frame_01803,train
cdc_0207,frame_01804,train
cdc_0207,frame_01805,train
cdc_0207,frame_01806,train
cdc_0207,frame_01807,train
cdc_0208,frame_01809,train
cdc_0208,frame_01810,train
cdc_0209,frame_01816,train
cdc_0209,frame_01817,train
cdc_0210,frame_01819,train
cdc_0210,frame_01820,train
cdc_0210,frame_01821,train
cdc_0211,frame_01822,train
cdc_0211,frame_01823,train
cdc_0212,frame_01824,train
cdc_0212,frame_01825,train
cdc_0212,frame_01826,train
cdc_0212,frame_01827,train
cdc_0213,frame_01828,train
cdc_0213,frame_01829,train
cdc_0213,frame_01830,train
cdc_0213,frame_01831,train
cdc_0213,frame_01832,train
cdc_0213,frame_01833,train
cdc_0213,frame_01834,train
cdc_0213,frame_01835,train
cdc_0213,frame_01836,train
cdc_0213,frame_01837,train
cdc_0213,frame_01838,train
cdc_0213,frame_01839,train
cdc_0213,frame_01840,train
cdc_0213,frame_01841,train
cdc_0213,frame_01842,train
cdc_0213,frame_01843,train
cdc_0213,frame_01844,train
cdc_0213,frame_01845,train
cdc_0213,frame_01846,train
cdc_0213,frame_01847,train
cdc_0213,frame_01848,train
cdc_0213,frame_01849,train
cdc_0213,frame_01850,train
cdc_0213,frame_01851,train
cdc_0213,frame_01852,train
cdc_0214,frame_01854,train
cdc_0214,frame_01855,train
cdc_0214,frame_01856,train
cdc_0214,frame_01857,train
cdc_0215,frame_01861,train
cdc_0215,frame_01862,train
cdc_0215,frame_01863,train
cdc_0215,frame_01864,train
cdc_0215,frame_01865,train
cdc_0215,frame_01866,train
cdc_0215,frame_01867,train
cdc_0215,frame_01868,train
cdc_0216,frame_01872,train
cdc_0216,frame_01873,train
cdc_0217,frame_01879,train
cdc_0217,frame_01882,train
cdc_0218,frame_01880,train
cdc_0218,frame_01881,train
cdc_0219,frame_01883,train
cdc_0219,frame_01885,train
cdc_0219,frame_01896,train
cdc_0219,frame_01897,train
cdc_0219,frame_01898,train
cdc_0219,frame_01899,train
cdc_0220,frame_01889,train
cdc_0220,frame_01890,train
cdc_0221,frame_01892,train
cdc_0221,frame_01893,train
cdc_0221,frame_01894,train
cdc_0221,frame_01895,train
cdc_0222,frame_01900,train
cdc_0222,frame_01902,train
cdc_0223,frame_01931,val
cdc_0223,frame_01932,val
cdc_0223,frame_01933,val
cdc_0224,frame_01935,val
cdc_0224,frame_01936,val
cdc_0225,frame_01940,val
cdc_0225,frame_01941,val
cdc_0225,frame_01942,val
cdc_0226,frame_01946,val
cdc_0226,frame_01947,val
cdc_0226,frame_01948,val
cdc_0227,frame_01960,val
cdc_0227,frame_01961,val
cdc_0227,frame_01962,val
cdc_0228,frame_01965,val
cdc_0228,frame_01966,val
cdc_0229,frame_01967,val
cdc_0229,frame_01969,val
cdc_0230,frame_01972,val
cdc_0230,frame_01973,val
cdc_0231,frame_01978,val
cdc_0231,frame_01979,val
cdc_0232,frame_01982,val
cdc_0232,frame_01983,val
cdc_0233,frame_02000,train
cdc_0233,frame_02001,train
cdc_0233,frame_02002,train
cdc_0233,frame_02003,train
cdc_0234,frame_02006,train
cdc_0234,frame_02007,train
cdc_0235,frame_02010,train
cdc_0235,frame_02011,train
cdc_0235,frame_02012,train
cdc_0236,frame_02014,train
cdc_0236,frame_02015,train
cdc_0237,frame_02016,train
cdc_0237,frame_02017,train
cdc_0237,frame_02018,train
cdc_0237,frame_02019,train
cdc_0238,frame_02022,train
cdc_0238,frame_02023,train
cdc_0239,frame_02024,train
cdc_0239,frame_02025,train
cdc_0239,frame_02026,train
cdc_0240,frame_02028,train
cdc_0240,frame_02032,train
cdc_0240,frame_02033,train
cdc_0240,frame_02034,train
cdc_0241,frame_02029,train
cdc_0241,frame_02030,train
cdc_0241,frame_02031,train
cdc_0242,frame_02036,train
cdc_0242,frame_02037,train
cdc_0243,frame_02038,train
cdc_0243,frame_02039,train
cdc_0244,frame_02041,train
cdc_0244,frame_02042,train
cdc_0244,frame_02043,train
cdc_0244,frame_02044,train
cdc_0244,frame_02045,train
cdc_0244,frame_02046,train
cdc_0245,frame_02051,train
cdc_0245,frame_02052,train
cdc_0246,frame_02055,train
cdc_0246,frame_02056,train
cdc_0246,frame_02057,train
