rank,val_path,train_path,val_id,train_id,id_distance,signature_distance,direct_rgb_mae,val_gt_boxes,train_gt_boxes,manual_review
35,D:\download\triair\data\images\nframe_02890.npy,D:\download\triair\data\images\nframe_02889.npy,2890,2889,1,0,4.564960,1,1,
36,D:\download\triair\data\images\nframe_03372.npy,D:\download\triair\data\images\nframe_03373.npy,3372,3373,1,0,0.000000,2,2,
37,D:\download\triair\data\images\nframe_09438.npy,D:\download\triair\data\images\nframe_09439.npy,9438,9439,1,0,0.000000,1,1,
38,D:\download\triair\data\images\nframe_09873.npy,D:\download\triair\data\images\nframe_09874.npy,9873,9874,1,0,0.000000,3,3,
39,D:\download\triair\data\images\nframe_03892.npy,D:\download\triair\data\images\nframe_03893.npy,3892,3893,1,0,0.000000,5,5,
40,D:\download\triair\data\images\nframe_03517.npy,D:\download\triair\data\images\nframe_03518.npy,3517,3518,1,0,0.000000,1,1,
41,D:\download\triair\data\images\nframe_02733.npy,D:\download\triair\data\images\nframe_02734.npy,2733,2734,1,0,2.866931,4,5,
42,D:\download\triair\data\images\nframe_01008.npy,D:\download\triair\data\images\nframe_01007.npy,1008,1007,1,0,0.000000,3,3,
43,D:\download\triair\data\images\nframe_06678.npy,D:\download\triair\data\images\nframe_06679.npy,6678,6679,1,0,0.000000,1,1,
44,D:\download\triair\data\images\nframe_08272.npy,D:\download\triair\data\images\nframe_08273.npy,8272,8273,1,0,2.185687,2,2,
45,D:\download\triair\data\images\frame_00422.npy,D:\download\triair\data\images\frame_00421.npy,422,421,1,0,4.517887,0,0,
46,D:\download\triair\data\images\nframe_02923.npy,D:\download\triair\data\images\nframe_02924.npy,2923,2924,1,0,2.415634,1,1,
47,D:\download\triair\data\images\nframe_07733.npy,D:\download\triair\data\images\nframe_07732.npy,7733,7732,1,0,0.000000,2,3,
48,D:\download\triair\data\images\nframe_03924.npy,D:\download\triair\data\images\nframe_03923.npy,3924,3923,1,0,0.000000,5,5,
49,D:\download\triair\data\images\nframe_02441.npy,D:\download\triair\data\images\nframe_02440.npy,2441,2440,1,0,0.000000,2,2,
50,D:\download\triair\data\images\nframe_01675.npy,D:\download\triair\data\images\nframe_01674.npy,1675,1674,1,0,1.687526,6,8,
