rgb_sha256,train_count,val_count,total_count,train_gt_count_set,val_gt_count_set,gt_count_relation,min_id_distance,median_id_distance,min_train_id,max_train_id,min_val_id,max_val_id,families
1b0b109744a072a9fa7bc339fde127c6d9c4c187f130c2191685363c72c4cb4e,1,1,2,2,2,identical,1,1,5338,5338,5337,5337,nframe
1c2a7c754dd1003c17dbcaa6dd01d8f093feaac388145c1786a6581be9aa382a,1,1,2,2,2,identical,1,1,3373,3373,3372,3372,nframe
1eae6cdf205f03efb225f5bb9a585639a382d2a09fec5b0a03ddad32c17a0b37,1,1,2,2,2,identical,1,1,2850,2850,2851,2851,nframe
1fd7e3d4fae2f3804f715ede2dd4d9b5b92dcd8a6c465653cdf4fd98fdb25af8,1,1,2,3,3,identical,1,1,8690,8690,8691,8691,nframe
20424760c08a6a6782ea3b0674ab94a8b1eef87dea8aae9c6f885c90b1df93b8,1,1,2,2,2,identical,1,1,7755,7755,7756,7756,nframe
207225a57aff3bf907a8253b0493de9ff0fde8500af4d13ab8d54ef0342b41f0,1,1,2,5,5,identical,1,1,3917,3917,3918,3918,nframe
2084a5883cdcf300ca2199fff5742904bcd344aeec2c9d38d694a0bcb46c48f6,1,1,2,7,7,identical,1,1,1348,1348,1347,1347,nframe
22b9937c87015d8b95d4147e242534a823bf6fc647e1c4ddd037974d36b51290,1,1,2,1,1,identical,1,1,9053,9053,9054,9054,nframe
26d356754800c1d321dd7b32d37429d517b8c2782a1daf776fb56a3b68cdf346,1,1,2,6,6,identical,1,1,2549,2549,2548,2548,nframe
28552311b6218df4666afc77263997d9cb9f668ee03dd0f34e045a2186a2f13e,1,1,2,1,1,identical,1,1,9254,9254,9255,9255,nframe
2b1ceba8812dd9243bb462363be82308b049cde917bca537e098bb367576488a,1,1,2,3,3,identical,1,1,7409,7409,7410,7410,nframe
2c487ad642fba2dc9ba6438e7ecd68b94dbb0d72f9f439126674ecae58bdcc33,1,1,2,1,1,identical,1,1,748,748,749,749,nframe
31f224f5f49639f4251dc8210e0567ad897f63ff38bd66f501264302d5881cc0,1,1,2,3,4,different,1,1,2023,2023,2022,2022,nframe
35b48f05e432a11b07e655bb16370ecafb216cc38c4538c6a5684f82bfaa8ca3,1,1,2,1,1,identical,1,1,4325,4325,4326,4326,nframe
368b1bccbd7db1965d08ad66071e9579fc22cefd32aa9e74df869e161102d404,1,1,2,11,10,different,1,1,1425,1425,1426,1426,nframe
383dc1029fef0b6b650c1d025fbf95002740cfe3cf00851cbde802752a06ed24,1,1,2,14,12,different,1,1,8535,8535,8536,8536,nframe
3a2b649f6c2c355ac27bc60fe4dda08ed91791359c5581fd7f50262d6c602870,1,1,2,2,2,identical,1,1,6445,6445,6444,6444,nframe
3adb9a37c7ccb0f0f8f6d3565a7a655ad2c4c7f75903036ed5c3a6ce9934c7dd,1,1,2,1,1,identical,1,1,3681,3681,3682,3682,nframe
3c5e185af58a0b4e0d3761fc0b8f2931e041356df37c31cead91ae104852a48a,1,1,2,3,3,identical,1,1,5283,5283,5282,5282,nframe
3e62ad1dbb00fc9cea16d81f3d49c0d910cfdce98c886c333d20071637f4a68c,1,1,2,7,7,identical,1,1,8477,8477,8476,8476,nframe
3ed03c0812f80cac2a1b329a42716eb0ca6855916b90f8390713ac96b3a9566d,1,1,2,7,8,different,1,1,1613,1613,1612,1612,nframe
40494cbf247f0d9b705507bc22588b088f889e3cb29c64e309bbe43bf869a1a0,1,1,2,2,2,identical,1,1,833,833,834,834,nframe
420eabc917b52dcb3dedc7dbad1687e059fb0d4082ea56fe537b82fa39c9c023,1,1,2,4,4,identical,1,1,1215,1215,1214,1214,nframe
44204c6cda58aa4a2c342c85e46a5b12ff98de45e99c2e5c87d55767b2ca9459,1,1,2,3,3,identical,1,1,7599,7599,7600,7600,nframe
446240ad33e51b570423b529259ff1f34ae345982ab616eabae905ddbc5d6fd8,1,1,2,3,4,different,1,1,7648,7648,7647,7647,nframe
44c6e5ebc42c78739fa0fac05ddb142475eea560a87d3c6a5a653c6d18695ee3,1,1,2,5,5,identical,1,1,2226,2226,2225,2225,nframe
45ec1e8eda126a4926c25652c7c97497887c4d4a380b82904ef1c7285ddb7090,1,1,2,2,1,different,1,1,8899,8899,8898,8898,nframe
46b23f898195916fb90505e76bd1d2772f0e249d64bb912857aa370e72cb9f89,1,1,2,6,6,identical,1,1,2620,2620,2619,2619,nframe
48f391bdae28325d68d435d791e0af3698669dc42b8e25abe6ea88d8301a3ee7,1,1,2,10,9,different,1,1,1526,1526,1527,1527,nframe
48fceef9900924756bc9a498c1ea5247f99f8d4c16b2f023e29637ac6677992c,1,1,2,2,2,identical,1,1,6451,6451,6452,6452,nframe
4a339ba6a9f06f6bf5cda04c3c4349170572ef5a4b2bd17712f8dcac9eb44a04,1,1,2,6,5,different,1,1,2552,2552,2553,2553,nframe
4b520f76cb17577916d268b869e1e739cc0df93562c0a03e5c35d08f64d6f49b,1,1,2,4,3,different,1,1,2002,2002,2001,2001,nframe
4c12023a9c20e263948872da2d8142cf8b99fb45100d5d8ff99fae59adb9a412,1,1,2,1,1,identical,1,1,3476,3476,3477,3477,nframe
4c8bb6127a86704d06819ad9f722c8461bbb124a62d4f6992387f5188578547e,1,1,2,2,2,identical,1,1,5255,5255,5256,5256,nframe
5185039503a140e84bb86ce6fb7774f5ab3ffcb610513e0505f86da7894cf15c,1,1,2,2,2,identical,1,1,849,849,848,848,nframe
52d129ad1ca8c9f10e085841437f938314a10ffeb10f3366e31c8d4440438e41,1,1,2,1,1,identical,1,1,4818,4818,4817,4817,nframe
530ea98711204db3e8f09709663525f14657cb3f0d941d99d9881302db8610ae,1,1,2,3,3,identical,1,1,1993,1993,1992,1992,nframe
54420803a521ecfd9bc1919689f968d52bbb71e5ba442bda10e2b307af95606d,1,1,2,5,5,identical,1,1,1300,1300,1301,1301,nframe
5526e7943ebe4abd59d22c5befe8ce4a51ae97db9aa3b7c904b3d170e0a0c375,1,1,2,2,2,identical,1,1,3451,3451,3452,3452,nframe
5a8d899126d5c575bf9b5fad976fb03fc9467dd0a81b0de92c936b3ca6c0468b,1,1,2,3,3,identical,1,1,2846,2846,2847,2847,nframe
5c4ffb1a9caa776ed1cb7964a37471a45337ae2e23b287079835a1bc1b162cd6,1,1,2,3,3,identical,1,1,3876,3876,3877,3877,nframe
5f0cad1c2e25bfaeb4a044ba2f821f01b8d4841c40e62aed31b05dae588aa307,1,1,2,2,2,identical,1,1,3401,3401,3400,3400,nframe
5fb1e21f3513583845e8f23ef5d05935521e56ebf134ece7d75e3482619e4f3b,1,1,2,1,1,identical,1,1,6569,6569,6568,6568,nframe
605a67375e9679aa99cecfd142709bf37f6e212098f739e8b171f70f0b023d9b,1,1,2,2,2,identical,1,1,8915,8915,8914,8914,nframe
61f081b9987119c35ecda85ffc56b91df5c6bfff38053ca2ad224df6f755454f,1,1,2,4,4,identical,1,1,2114,2114,2115,2115,nframe
63d2a6c5c5fe4fc5f93c4fb6658ba40faffa9cf202740125c6a1858f63c16a01,1,1,2,1,1,identical,1,1,6564,6564,6563,6563,nframe
668387fc1a7e752a97996b6af55cd48c0026c3612ffd8e13acaaf7f8ed1b2b6f,1,1,2,3,3,identical,1,1,3408,3408,3409,3409,nframe
684720512e54513be9be1afdf30b3e3b7c14547e5c8a39d4330756d827a8744d,1,1,2,1,1,identical,1,1,4680,4680,4679,4679,nframe
68e16b3feef4abdac4ef257af4f3c90c5a9ab68867a8080cc0a72631c779e87c,1,1,2,3,3,identical,1,1,5262,5262,5263,5263,nframe
6a4bf97a4b257bd2e0eeab9452ccd2225d832fb9013fc78b22e5f90209778842,1,1,2,3,4,different,1,1,5179,5179,5178,5178,nframe
6d4557621e7437d7a473d6c0bd52ac93075218487b79412e1834e6eaeaf5e0e7,1,1,2,3,3,identical,1,1,1829,1829,1830,1830,nframe
6edaab44c575697e64f28f98aaf508c135e12708ec1ae7bdb3f59f0e49ff4a9b,1,1,2,2,2,identical,1,1,7880,7880,7881,7881,nframe
700066fcc1a28f127e059f679a4ac0b33c109353521b9f42c1d2808fe5598391,1,1,2,1,1,identical,1,1,4333,4333,4334,4334,nframe
7193a1de1e6a765579aea9c89696bf2878a293cb3951600cf0cda5835489769b,1,1,2,7,7,identical,1,1,1711,1711,1712,1712,nframe
7547b929474fc6956a6fc855fe2ac6404b5828a69487c53b32e0eac8c535f314,1,1,2,2,1,different,1,1,6407,6407,6406,6406,nframe
779551efe7bb5fc67ade532108ce45a6e5765a001c0276bb34902f076ba7cd45,1,1,2,2,2,identical,1,1,7172,7172,7173,7173,nframe
785751441f4cb13fbeed92f49fd299c7b3c6cb8ea8b95b1d03a2b026942d8540,1,1,2,4,3,different,1,1,5052,5052,5051,5051,nframe
7a0260a99f0d40b937ae6e03faefd049e62a21068c27b7c68329f36c8ac7152f,1,1,2,3,3,identical,1,1,9874,9874,9873,9873,nframe
7f34fee22a48333ddf9ca4748c6d899844276991d0c409e4da12cdb2308cfa04,1,1,2,1,1,identical,1,1,9008,9008,9007,9007,nframe
815bf4a78f6bd1ddf99dcd28f72bdc2da1882ded1d38c46c21d513ca6cd83d29,1,1,2,3,3,identical,1,1,4419,4419,4418,4418,nframe
8224a11d3954b0241625010193991632a050ec17065731709a75c6537bae59dc,1,1,2,5,5,identical,1,1,8407,8407,8408,8408,nframe
85dce12d2b8df3be96d022ebac30079d193503d3583e310560f12ecd00cc9516,1,1,2,8,9,different,1,1,1381,1381,1382,1382,nframe
8700f8f618f5aa5d12f51b0ed56786aca9d08172cc501a20cc1d9a0a3c9e01bf,1,1,2,1,1,identical,1,1,9439,9439,9438,9438,nframe
8984347a2635fb9b316d1f3b84cdec5d2ff10bad42338eb0be8b64689c92894f,1,1,2,4,4,identical,1,1,2512,2512,2511,2511,nframe
8c94ed93584eb9cad2c9e8a7318a9647de7b0aef76ed05c2760f2288ce822a6d,1,1,2,3,3,identical,1,1,7634,7634,7633,7633,nframe
8cfd7e9079ee65804d2a3390ba4d8ea68274f0ea0cc7128f2b9737a9a2fc3a55,1,1,2,2,2,identical,1,1,3363,3363,3364,3364,nframe
910e739f19d332b84b0c4725f13d88c8a56bc9e2bb495024270529d615e7a2bd,1,1,2,1,2,different,1,1,8295,8295,8296,8296,nframe
91deba6574f487dbdf23d6446418ff3200b25673a0cf88e3eab4d1c27e48314d,1,1,2,6,6,identical,1,1,2214,2214,2213,2213,nframe
9e51b97f6cfbb2e5e257e5fa93b1d26fa15581fd39bf2b8ecb6df1e5c700f2a2,1,1,2,4,4,identical,1,1,2008,2008,2009,2009,nframe
9f0c250c87ddb9ef98aab6cfa03f96ee5fca998500f323ffdafefe92bee419b5,1,1,2,1,1,identical,1,1,7368,7368,7367,7367,nframe
9ff363cccbc754dcea0068df42787147adda8e9587026a842f58437eab907331,1,1,2,5,5,identical,1,1,3925,3925,3926,3926,nframe
9ff5160b580321ddc5d80122fb219960f2b6005545dc80d8a84c52c4e4c7d83e,1,1,2,2,2,identical,1,1,8921,8921,8922,8922,nframe
a2a70582dc72facf56504a340ed0965e92f76df7366f928449c776c5090b4d51,1,1,2,3,3,identical,1,1,5485,5485,5484,5484,nframe
a3254f1a848619f05e19e92d505792fe435e0bd298f4392d5d82535a2e860dbe,1,1,2,1,1,identical,1,1,6629,6629,6630,6630,nframe
a456235da1f5463618e2a3db97e2fe0a7aa42718a2730cac004f539828e1447b,1,1,2,3,3,identical,1,1,4406,4406,4405,4405,nframe
a6c1f8766b4806cbb64177011c888496fd8cf4011b3b2dcae13139351c112e40,1,1,2,3,3,identical,1,1,1007,1007,1008,1008,nframe
a78d243eaff435b358ed71975b75dc68c182f60935ee78cd55b0a696cdc55ac1,1,1,2,6,6,identical,1,1,1281,1281,1282,1282,nframe
a9e06274937b8cbf5efad682fef4a0518b37e8f4817c3dd1fa0b340300465ddd,1,1,2,2,1,different,1,1,2870,2870,2869,2869,nframe
aa5693b31c64052f3502e13c07711be05788e051119bae3163cd50d9636f894f,1,1,2,5,4,different,1,1,2144,2144,2145,2145,nframe
ab8d89eb535e546dc704bbbb847051d90600272870fe1df38e59fb4c949ce094,1,1,2,2,2,identical,1,1,1879,1879,1878,1878,nframe
ac24a69d8823a36208c63c8b2a449d8b6bddc7e8a8ebc88a65e4e1027cc2489c,1,1,2,5,5,identical,1,1,1269,1269,1270,1270,nframe
ac844d79b1d2ded25f32961904a642b7a0dc849f45d9faf9483aab48cfa5205e,1,1,2,1,1,identical,1,1,4005,4005,4004,4004,nframe
ae58a6fc27a4ee8fc79fcd58c67767f49eb15b5c357e71671a3375fb33f7cfe3,1,1,2,4,4,identical,1,1,7654,7654,7655,7655,nframe
af7f9f14228951068b4948b2bdd7a868fe3b95bcfcdc2ac1f30ba6cd2662ac52,1,1,2,1,1,identical,1,1,2891,2891,2890,2890,nframe
b26b1c70bf8d7a4766beb234c559a902792fd102f7be72afb0df490c350b9710,1,1,2,1,1,identical,1,1,4806,4806,4807,4807,nframe
b28b067633e47c82f7c2c6e52aa159819bfb798fe62a22dc3f927a747fcf9e7f,1,1,2,3,3,identical,1,1,1239,1239,1240,1240,nframe
b401fa0f90fe1ffecb021a337f5afdbbe25b1454188f61da3f1383bae14bb861,1,1,2,4,4,identical,1,1,7932,7932,7933,7933,nframe
b47abd40c6a068c04ed53d8407775e56a438696631f86fb7f7d14197d42ff4e9,1,1,2,1,1,identical,1,1,6679,6679,6678,6678,nframe
b5827cd196534569cd32904e059b3423a3856c9787f4bb1a28b76db00fab1181,1,1,2,3,3,identical,1,1,5268,5268,5269,5269,nframe
b769f6b69043396762875fa2a3741a936f3b8aa2851ecadebe4e261bede334f5,1,1,2,2,4,different,1,1,2297,2297,2296,2296,nframe
b7cfdc9e5263822d95a5851df1ea401353223c23b37c2b88492d86135c4e921b,1,1,2,1,1,identical,1,1,778,778,777,777,nframe
bab9537bcea025abf3cdda526f11388a20510048f7d35b35ede026808546c7a5,1,1,2,2,2,identical,1,1,928,928,929,929,nframe
bc27d7c5134d42ad2cd0901c25ba450b99d6570cbfbc62b003e4bc376c9dd278,1,1,2,2,2,identical,1,1,4755,4755,4754,4754,nframe
bc6ee0104668a024297a34e3271d6cfa5a634d6a51438ff1c5861147a47fe7de,1,1,2,4,5,different,1,1,7507,7507,7508,7508,nframe
bf1043ad989471d3c3595830d079ba28df12f0486dfa7b470c4b2a068c906fd5,1,1,2,2,2,identical,1,1,9131,9131,9132,9132,nframe
c44cba0987cba306430e6528b4a929e15ac9bf861bf79825b2e262ee2f11dddf,1,1,2,2,2,identical,1,1,8219,8219,8218,8218,nframe
c45b8423a37824baa83daa3137c95aabf6f85aaa16bf10e37cf0d07ce18f2151,1,1,2,1,1,identical,1,1,8028,8028,8027,8027,nframe
c650bc7bc543e123b545fbc897a4a5075df73867fd7200f9f778f56630545fdc,1,1,2,3,3,identical,1,1,5180,5180,5181,5181,nframe
c778f1aa38f042c8a21eaf27a722c1a6a7cb72acdf8f910403e81f20d093dcf5,1,1,2,1,1,identical,1,1,9622,9622,9623,9623,nframe
c7d0d6bfa466ef85ab30b23169b3ef8bd2b6105e29c8aecf3859a2ac41b43da4,1,1,2,3,3,identical,1,1,7175,7175,7176,7176,nframe
ca521552a73571ca31a10dc4809b5b8f1bfd77f16c59615d0dfc9672b614e4de,1,1,2,2,1,different,1,1,4302,4302,4301,4301,nframe
cb02f7e461dbb95fc9623b258eddd5300925120746eeb7259c20ec3e58a7603f,1,1,2,6,7,different,1,1,2601,2601,2602,2602,nframe
cb05d6f1c6dc085f0f8c7063871eb927cc7e5ce2b2a24f53179c5de8f15cfeaf,1,1,2,5,5,identical,1,1,2140,2140,2141,2141,nframe
cc84228dd46e3e1a92b68161ff0f13f3164cd354843be75d8c5321c7c1091015,1,1,2,4,4,identical,1,1,2473,2473,2472,2472,nframe
d2e5e18e62842b5c5aba6fd376b7cd63137268d400dd5e1db66788ec11722195,1,1,2,4,4,identical,1,1,2729,2729,2728,2728,nframe
d3c746879b6288eb21210eed036e28f6f49a357575763e7ae311bbdcb99d5eee,1,1,2,3,2,different,1,1,8620,8620,8619,8619,nframe
d759cf90e37222c44e5cde589c3f1ecf910ca714ab93893920b641c650b84ae3,1,1,2,3,2,different,1,1,7732,7732,7733,7733,nframe
d7d124902ae645a1e860d90d188a7cd61c26aaad6e1bb4b7b5ea7d837bb24550,1,1,2,3,3,identical,1,1,8709,8709,8710,8710,nframe
d9bb4424d42de1691707012817a13f773ebfda8c9bffd86e88939b5235a67a8f,1,1,2,2,2,identical,1,1,7140,7140,7139,7139,nframe
d9df376b55d65a5a33c57a4710d2fea73776908e04558d221dbf27c3d69eba93,1,1,2,3,3,identical,1,1,8670,8670,8669,8669,nframe
da374ab679fed03e6d8dec4b01ca2c24e0d7b8255fb9bc4276a72ae88564eadb,1,1,2,4,4,identical,1,1,1971,1971,1970,1970,nframe
db2ba3448a32aa3b76539f90162b5d939f0beebd0ae08249bfb3b8672615d94b,1,1,2,2,2,identical,1,1,7957,7957,7956,7956,nframe
db396188fde5887c529e13338120ff562bfee330c6bad9004844754ecb080845,1,1,2,2,2,identical,1,1,845,845,846,846,nframe
db558b0b9f3d808f0f4f9d7b2cb4b5f3b3b51369da7d429bac1960ff21b13fcb,1,1,2,2,3,different,1,1,5234,5234,5233,5233,nframe
de1a0d79d4a73465dfe3e9c36a08ef67d4760642bf3341fddf4e9103d243bfd6,1,1,2,8,7,different,1,1,8572,8572,8571,8571,nframe
dec9f8d5c53e74bf05d610564262bfd32b1d3cf08d6947755d78f934d42e4765,1,1,2,2,2,identical,1,1,7760,7760,7761,7761,nframe
df96ce66dbd029d2aa83251b2d25f34ee551e02f8bafad2a0c60defee72f8f41,1,1,2,1,1,identical,1,1,8048,8048,8049,8049,nframe
e07c40be1168e4c026cdef94eba65db3586eae08eda2077d1de23000c11792dd,1,1,2,10,9,different,1,1,8559,8559,8560,8560,nframe
e126e37d50f616e141f22ebe11e6a3962f966da1c700e6fddec41d27b9f77001,1,1,2,1,1,identical,1,1,9441,9441,9442,9442,nframe
e4a2669ba9b9050650ac70f142cf33f47a7a76aede5c3106df074ca5afb12b6d,1,1,2,2,2,identical,1,1,2440,2440,2441,2441,nframe
e5ff1f48b35c94cb8cb27896b551f649e78befea46a204c922b5b972c17e6e89,1,1,2,7,6,different,1,1,8451,8451,8450,8450,nframe
e60b6ae78a15c2e3e27991d258a45c4e1042159053c667e1729a506c08633464,1,1,2,5,5,identical,1,1,7466,7466,7465,7465,nframe
e98d4fb347644c5c7567d580cd5e8a143ea1c9c9a6b1ae36c679752b51b9c048,1,1,2,1,1,identical,1,1,3808,3808,3809,3809,nframe
ec16b79d0d69c96ed63769aa3358719489516f2318e0eeff1dd53000ae329398,1,1,2,1,1,identical,1,1,3689,3689,3690,3690,nframe
ec1e44f3f86b83f4e22215f74893941acb72ba3a413d2d02c665c6a923f2e357,1,1,2,3,3,identical,1,1,1966,1966,1965,1965,nframe
ecc07391db1c8c7d3e3aaee427b3c701a8890bdb4637ab07572a9037ae5a25be,1,1,2,1,1,identical,1,1,7006,7006,7005,7005,nframe
ee8336c82ddf3e8a253015f95f14a7b4e9630e2473d01be916e750f80d304368,1,1,2,1,1,identical,1,1,5622,5622,5621,5621,nframe
ef65f627f54a73991452ce888f7bd4355b5a2721a39979ab27234bd782702d1a,1,1,2,5,5,identical,1,1,3893,3893,3892,3892,nframe
f060030f847b0fa3c47e55b4ada58a86cb14434f11dadcd18026bff851584adc,1,1,2,1,1,identical,1,1,8731,8731,8732,8732,nframe
f221eb1efff7e8924df70adfb4cd2b0e5e98c0198333df908339586cf2be0f24,1,1,2,11,12,different,1,1,1445,1445,1444,1444,nframe
f41ac8138d549e295069a485f292847989c7feeb4e4c747db90cfd9d8e81d317,1,1,2,1,1,identical,1,1,6621,6621,6622,6622,nframe
f743dcd5040544b795d811d3c6a6656fbdda14ea0dddebb74d60895ca709f97b,1,1,2,6,6,identical,1,1,2537,2537,2536,2536,nframe
f7505cdaae8c36cea27d5036a5764aa2fa8ae91d235df6c78b86c03a6c387689,1,1,2,3,3,identical,1,1,2058,2058,2057,2057,nframe
f776f77216d9b748f749e80821f6f95742b41b662976c4da8dfee0504ce3282b,1,1,2,5,5,identical,1,1,7515,7515,7516,7516,nframe
f8b46aab70d8a875e2de52c2146fcc37739191330bb0e74cfbfac3b5cd2dd1c7,1,1,2,5,5,identical,1,1,3923,3923,3924,3924,nframe
fe7e58df41b517515699178672817ee3d91b8866b15e9dfdf44e0c51b0d6f7d2,1,1,2,6,6,identical,1,1,2592,2592,2593,2593,nframe
febad552ea83200cd3b53ede085fcb56b0a56ee64e62ad14412f63887ce8e0ae,1,1,2,1,1,identical,1,1,7768,7768,7769,7769,nframe
