step,allocated_bytes,reserved_bytes,max_allocated_bytes,max_reserved_bytes
173,130360832,394264576,354884608,394264576
174,130360832,394264576,354884608,394264576
175,130360832,394264576,354884608,394264576
176,130360832,394264576,354884608,394264576
177,130360832,394264576,354884608,394264576
178,130360832,394264576,354884608,394264576
179,130360832,394264576,354884608,394264576
180,130360832,394264576,354884608,394264576
181,130360832,394264576,354884608,394264576
182,130360832,394264576,354884608,394264576
183,130360832,394264576,354884608,394264576
184,130360832,394264576,354884608,394264576
185,130360832,394264576,354884608,394264576
186,130360832,394264576,354884608,394264576
187,130360832,394264576,354884608,394264576
188,130360832,394264576,354884608,394264576
189,130360832,394264576,354884608,394264576
190,130360832,394264576,354884608,394264576
191,130360832,394264576,354884608,394264576
192,130360832,394264576,354884608,394264576
193,130360832,394264576,354884608,394264576
194,130360832,394264576,354884608,394264576
195,130360832,394264576,354884608,394264576
196,130360832,394264576,354884608,394264576
197,130360832,394264576,354884608,394264576
198,130360832,394264576,354884608,394264576
199,130360832,394264576,354884608,394264576
200,130360832,394264576,354884608,394264576
