cluster_id,preliminary_label,author_final_label,reviewed_by,review_date,creates_v40_adjacency_edges,representative_pair_ids,pair_count,minimum_id_distance,author_notes
fpc_0014,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0014,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0015,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0015,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0016,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0016|fp_0017|fp_0030|fp_0031|fp_0040|fp_0041|fp_0050|fp_0051|fp_0059|fp_0060,21,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0017,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0018,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0018,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0019|fp_0020|fp_0032|fp_0033|fp_0042|fp_0043|fp_0052|fp_0053|fp_0061|fp_0062,32,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0019,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0115|fp_0171|fp_0202|fp_0223|fp_0241|fp_0258,6,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0020,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0116|fp_0117|fp_0172|fp_0173|fp_0203|fp_0204|fp_0224|fp_0225|fp_0242|fp_0243,13,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0021,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0118|fp_0174|fp_0205|fp_0226|fp_0244|fp_0261|fp_0272,7,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0022,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0119|fp_0175|fp_0206,3,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0023,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0120|fp_0121|fp_0176|fp_0177|fp_0207|fp_0227|fp_0245|fp_0262|fp_0273|fp_0282,18,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0024,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0122|fp_0178|fp_0208|fp_0228|fp_0246|fp_0263|fp_0274|fp_0283|fp_0290|fp_0297,16,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0025,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0123,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0026,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0124,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0027,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0125|fp_0179,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0028,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0126,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0029,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0127|fp_0128|fp_0180|fp_0209|fp_0229|fp_0247,6,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0030,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0129|fp_0181|fp_0210|fp_0230|fp_0248,5,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0031,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0130|fp_0182|fp_0211|fp_0231|fp_0249,5,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0032,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0131|fp_0183|fp_0212|fp_0232,4,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0033,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0132,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0034,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0133,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0035,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0134|fp_0184,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0036,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0135|fp_0185,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0037,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0136,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0038,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0137,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0039,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0138|fp_0186|fp_0213,3,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0040,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0139|fp_0187|fp_0214,3,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0041,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0140|fp_0188,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0042,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0141,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0043,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0142|fp_0189|fp_0215|fp_0233|fp_0250|fp_0264|fp_0275|fp_0284|fp_0291|fp_0298,16,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0044,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0143|fp_0190|fp_0216|fp_0234|fp_0251|fp_0265|fp_0276|fp_0285|fp_0292|fp_0299,16,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0045,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0144|fp_0191|fp_0217|fp_0235|fp_0252|fp_0266|fp_0277|fp_0286|fp_0293|fp_0300,16,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0046,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0145,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0047,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0146|fp_0192|fp_0218|fp_0236|fp_0253|fp_0267|fp_0278|fp_0287|fp_0294|fp_0301,16,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0048,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0147|fp_0193|fp_0219|fp_0237|fp_0254|fp_0310|fp_0319|fp_0328|fp_0336|fp_0344,11,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0049,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0148,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0050,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0149,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0051,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0150,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0052,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0151,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0053,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0152,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0054,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0153,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0055,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0154|fp_0194|fp_0220|fp_0238|fp_0255|fp_0268|fp_0279|fp_0302|fp_0311|fp_0320,14,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0056,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0155,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0057,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0156,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0058,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0157|fp_0195|fp_0221|fp_0239|fp_0256|fp_0269|fp_0280|fp_0288|fp_0295|fp_0303,12,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0059,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0158|fp_0196,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0060,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0159|fp_0197,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0061,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0160,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0062,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0161|fp_0198,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0063,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0162|fp_0163|fp_0199|fp_0222|fp_0240|fp_0257|fp_0270|fp_0281,8,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0064,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0164,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0065,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0165,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0066,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0166|fp_0200,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0067,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0167,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0068,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0168,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0069,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0169,1,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
fpc_0070,adjacent_or_near_identical,adjacent_or_near_identical,research_owner,2026-07-05,yes,fp_0170|fp_0201,2,1,Research owner confirmed agreement with the preliminary review for all 70 filename-proximity clusters in docs/V40_NEXT_TASK.md.
